Date,Price,Open,High,Low,Change(%)
"Apr 26, 2022",9.3383,9.2811,9.3397,9.2634,0.51%
"Apr 25, 2022",9.2909,9.2527,9.2975,9.2351,0.47%
"Apr 22, 2022",9.2473,9.2322,9.2538,9.209,0.20%
"Apr 21, 2022",9.229,9.1942,9.2325,9.1923,0.42%
"Apr 20, 2022",9.1901,9.2024,9.2294,9.183,-0.09%
"Apr 19, 2022",9.1983,9.1752,9.2049,9.1614,0.30%
"Apr 18, 2022",9.1711,9.1559,9.1804,9.1426,0.24%
"Apr 15, 2022",9.1493,9.1722,9.1804,9.1475,-0.21%
"Apr 14, 2022",9.1684,9.1235,9.1804,9.1096,0.54%
"Apr 13, 2022",9.1194,9.1452,9.1457,9.1054,-0.24%
"Apr 12, 2022",9.1411,9.1504,9.1777,9.1096,-0.06%
"Apr 11, 2022",9.1466,9.1477,9.1699,9.1327,0.03%
"Apr 08, 2022",9.1439,9.1178,9.1614,9.111,0.33%
"Apr 07, 2022",9.1139,9.145,9.1504,9.0892,-0.30%
"Apr 06, 2022",9.1411,9.1327,9.1586,9.13,0.15%
"Apr 05, 2022",9.1275,9.1082,9.1341,9.0851,0.27%
"Apr 04, 2022",9.103,9.1096,9.1343,9.1014,-0.15%
"Apr 01, 2022",9.1166,9.0633,9.1291,9.0562,0.63%
"Mar 31, 2022",9.0595,9.0796,9.0933,9.0333,-0.15%
"Mar 30, 2022",9.0731,9.1232,9.1463,9.0606,-0.51%
"Mar 29, 2022",9.1194,9.198,9.2022,9.1124,-0.80%
"Mar 28, 2022",9.1929,9.1395,9.2049,9.139,0.57%
"Apr 26, 2022",9.3356,9.2811,9.3369,9.2634,0.48%
"Apr 26, 2022",9.3342,9.2811,9.3369,9.2634,0.47%
"Apr 26, 2022",9.3029,9.2811,9.3029,9.2634,0.13%
"Apr 25, 2022",9.2909,9.2527,9.2975,9.2351,0.46%
"Apr 24, 2022",9.2487,9.2525,9.2541,9.2405,0.02%
"Apr 26, 2022",9.2798,9.2811,9.2811,9.2784,-0.01%
"Apr 25, 2022",9.2811,9.2487,9.2975,9.247,0.35%
"Mar 25, 2022",9.1411,9.1259,9.1504,9.0987,0.21%
"Apr 25, 2022",9.2798,9.2487,9.2975,9.247,0.34%
"Apr 25, 2022",9.2906,9.2487,9.2961,9.247,0.45%
"Apr 25, 2022",9.2607,9.2487,9.2811,9.247,0.13%
"Apr 25, 2022",9.2551,9.2487,9.2619,9.247,0.07%
"Mar 24, 2022",9.1221,9.1532,9.1804,9.1218,-0.30%
"Mar 23, 2022",9.1493,9.1178,9.1749,9.1055,0.36%
"Mar 22, 2022",9.1166,9.1341,9.1777,9.1067,-0.15%
"Mar 21, 2022",9.1303,9.0607,9.1396,9.058,0.74%
"Mar 18, 2022",9.0632,9.0415,9.0933,9.037,0.28%
"Mar 17, 2022",9.0377,9.0837,9.0933,9.0333,-0.42%
"Mar 16, 2022",9.0758,9.13,9.1369,9.0525,-0.51%
"Mar 15, 2022",9.1221,9.1068,9.1396,9.0987,0.18%
"Mar 14, 2022",9.1058,9.0729,9.1124,9.0581,0.45%
"Mar 11, 2022",9.0649,9.0225,9.0823,9.0153,0.54%
"Mar 10, 2022",9.0159,8.9925,9.0307,8.9762,0.30%
"Mar 09, 2022",8.9887,9.0442,9.0483,8.9775,-0.48%
"Mar 08, 2022",9.0323,8.9844,9.047,8.9817,0.55%
"Mar 07, 2022",8.9833,8.8998,9.0062,8.8917,0.95%
"Mar 04, 2022",8.8989,8.8727,8.9163,8.8618,0.34%
"Mar 03, 2022",8.8689,8.8564,8.8891,8.821,0.21%
"Mar 02, 2022",8.8499,8.9027,8.9204,8.8265,-0.58%
"Mar 01, 2022",8.9016,8.8932,8.919,8.851,0.09%
"Feb 28, 2022",8.8934,8.8372,8.9251,8.8372,0.68%
"Feb 25, 2022",8.8335,8.8863,8.8918,8.8251,-0.55%
"Feb 24, 2022",8.8825,8.7856,8.9544,8.7774,1.15%
"Feb 23, 2022",8.7818,8.8265,8.8433,8.7625,-0.49%
"Feb 22, 2022",8.8254,8.7856,8.8428,8.7802,0.43%
"Feb 21, 2022",8.7873,8.7569,8.7911,8.7366,0.37%
"Feb 18, 2022",8.7546,8.7421,8.764,8.7339,0.19%
"Feb 17, 2022",8.7383,8.7856,8.8026,8.7339,-0.46%
"Feb 16, 2022",8.7791,8.8101,8.8319,8.7761,-0.31%
"Feb 15, 2022",8.8063,8.8306,8.8441,8.7884,-0.22%
"Feb 14, 2022",8.8254,8.9108,8.9113,8.8223,-0.92%
"Feb 11, 2022",8.907,8.9054,8.9244,8.8836,0.00%
"Feb 10, 2022",8.907,8.9054,8.9244,8.8645,0.06%
"Feb 09, 2022",8.9016,8.9599,8.9658,8.9,-0.61%
"Feb 08, 2022",8.956,8.9871,8.9966,8.9448,-0.30%
"Feb 07, 2022",8.9833,8.9789,9.0114,8.937,0.06%
"Feb 04, 2022",8.9778,9.017,9.0184,8.968,-0.39%
"Feb 03, 2022",9.0132,9.0197,9.0388,9.0116,-0.03%
"Feb 02, 2022",9.0159,9.0388,9.0511,9.0116,-0.21%
"Feb 01, 2022",9.035,9.0525,9.0619,9.0307,-0.09%
"Jan 31, 2022",9.0431,9.1016,9.1151,9.0415,-0.60%
"Jan 28, 2022",9.0976,9.0674,9.111,9.0415,0.36%
"Jan 27, 2022",9.0649,9.0143,9.0715,9.0021,0.60%
"Jan 26, 2022",9.0105,8.9817,9.0333,8.9626,0.33%
"Jan 25, 2022",8.9805,8.9844,9.0116,8.9707,-0.03%
"Jan 24, 2022",8.9833,8.9734,9.0116,8.971,0.27%
"Jan 21, 2022",8.9588,8.9599,9.0062,8.9515,0.00%
"Jan 20, 2022",8.9588,8.9626,9.0141,8.9271,0.03%
"Jan 19, 2022",8.956,9.0089,9.0497,8.9544,-0.54%
"Jan 18, 2022",9.005,9.0116,9.0252,8.9503,-0.03%
