Date,Price,Open,High,Low,Change(%)
"Apr 26, 2022",24.53,24.46,24.735,24.435,0.12%
"Apr 25, 2022",24.5,24.705,24.705,24.32,-0.37%
"Apr 22, 2022",24.59,25.005,25.025,24.58,-1.60%
"Apr 21, 2022",24.99,25.16,25.225,24.955,-0.60%
"Apr 20, 2022",25.14,24.93,25.205,24.91,0.96%
"Apr 19, 2022",24.9,24.76,24.97,24.745,0.61%
"Apr 18, 2022",24.75,24.88,24.905,24.74,-0.44%
"Apr 15, 2022",24.86,24.995,25.01,24.84,-0.48%
"Apr 14, 2022",24.98,24.955,25.12,24.93,0.12%
"Apr 13, 2022",24.95,25.055,25.055,24.775,-0.40%
"Apr 12, 2022",25.05,24.93,25.11,24.895,0.52%
"Apr 11, 2022",24.92,25.01,25.075,24.915,-0.48%
"Apr 08, 2022",25.04,25.05,25.175,24.945,0.00%
"Apr 07, 2022",25.04,25.24,25.27,24.985,-0.75%
"Apr 06, 2022",25.23,25.425,25.515,25.13,-0.71%
"Apr 05, 2022",25.41,25.235,25.59,25.205,0.75%
"Apr 04, 2022",25.22,25.11,25.285,25.045,0.44%
"Apr 01, 2022",25.11,24.915,25.165,24.89,0.88%
"Mar 31, 2022",24.89,25.035,25.05,24.86,-0.56%
"Mar 30, 2022",25.03,25.16,25.235,24.975,-0.56%
"Mar 29, 2022",25.17,25.305,25.365,25.05,-0.47%
"Mar 28, 2022",25.29,25.24,25.485,25.19,0.24%
"Apr 26, 2022",24.67,24.46,24.735,24.435,0.69%
"Apr 26, 2022",24.68,24.46,24.735,24.435,0.73%
"Apr 26, 2022",24.665,24.46,24.68,24.435,0.67%
"Apr 25, 2022",24.5,24.705,24.705,24.32,-0.28%
"Apr 24, 2022",24.57,24.605,24.705,24.565,-0.08%
"Apr 26, 2022",24.455,24.46,24.47,24.45,-0.08%
"Apr 25, 2022",24.475,24.57,24.575,24.32,-0.39%
"Apr 25, 2022",24.47,24.57,24.575,24.32,-0.41%
"Mar 25, 2022",25.23,25.18,25.305,25.11,0.24%
"Apr 25, 2022",24.455,24.57,24.575,24.32,-0.47%
"Apr 25, 2022",24.36,24.57,24.575,24.325,-0.85%
