Date,Price,Open,High,Low,Change(%)
"Apr 26, 2022",6.89,6.99,7.03,6.86,-1.41%
"Apr 25, 2022",6.99,7.08,7.11,6.9,-1.28%
"Apr 22, 2022",7.08,7.34,7.35,7.02,-3.41%
"Apr 21, 2022",7.33,7.31,7.34,7.3,0.42%
"Apr 20, 2022",7.3,7.24,7.33,7.21,0.88%
"Apr 19, 2022",7.24,7.24,7.28,7.21,0.00%
"Apr 18, 2022",7.24,7.16,7.26,7.15,1.15%
"Apr 15, 2022",7.16,7.17,7.17,7.15,-0.11%
"Apr 14, 2022",7.16,7.14,7.19,7.11,0.35%
"Apr 13, 2022",7.14,7.18,7.21,7.12,-0.60%
"Apr 12, 2022",7.18,7.16,7.26,7.14,0.38%
"Apr 11, 2022",7.15,7.15,7.19,7.09,0.00%
"Apr 08, 2022",7.15,7.05,7.16,7.01,1.52%
"Apr 07, 2022",7.04,7.12,7.14,7.01,-1.07%
"Apr 06, 2022",7.12,7.21,7.23,7.11,-1.19%
"Apr 05, 2022",7.2,7.28,7.3,7.16,-1.02%
"Apr 04, 2022",7.28,7.18,7.29,7.17,1.29%
"Apr 01, 2022",7.19,7.02,7.2,7.02,2.36%
"Mar 31, 2022",7.02,6.99,7.05,6.93,0.50%
"Mar 30, 2022",6.99,7.04,7.06,6.95,-0.77%
"Mar 29, 2022",7.04,7.09,7.13,7.0,-0.61%
"Mar 28, 2022",7.08,7.08,7.13,7.01,0.00%
"Apr 26, 2022",6.95,6.99,7.03,6.95,-0.54%
"Apr 26, 2022",6.97,6.99,7.03,6.97,-0.32%
"Apr 26, 2022",7.01,6.99,7.01,6.98,0.19%
"Apr 25, 2022",6.99,7.08,7.11,6.9,-1.30%
"Apr 24, 2022",7.08,7.09,7.09,7.08,0.00%
"Apr 26, 2022",6.99,6.99,6.99,6.99,0.00%
"Mar 25, 2022",7.08,6.94,7.1,6.92,1.99%
"Apr 25, 2022",6.97,7.08,7.11,6.9,-1.57%
"Apr 25, 2022",7.09,7.08,7.11,7.08,0.10%
"Apr 25, 2022",7.09,7.08,7.09,7.08,0.00%
"Mar 24, 2022",6.94,6.97,7.03,6.9,-0.30%
"Mar 23, 2022",6.96,6.82,6.97,6.81,2.10%
"Mar 22, 2022",6.82,6.8,6.83,6.77,0.37%
"Mar 21, 2022",6.79,6.62,6.8,6.62,2.52%
"Mar 18, 2022",6.63,6.59,6.67,6.57,0.62%
"Mar 17, 2022",6.59,6.57,6.61,6.51,0.29%
"Mar 16, 2022",6.57,6.49,6.58,6.46,1.20%
"Mar 15, 2022",6.49,6.53,6.59,6.49,-0.66%
"Mar 14, 2022",6.53,6.56,6.63,6.51,-0.46%
"Mar 11, 2022",6.56,6.61,6.67,6.56,-0.71%
"Mar 10, 2022",6.61,6.59,6.62,6.53,0.33%
"Mar 09, 2022",6.59,6.56,6.63,6.53,0.46%
"Mar 08, 2022",6.56,6.46,6.58,6.45,1.56%
"Mar 07, 2022",6.45,6.46,6.55,6.45,0.00%
"Mar 04, 2022",6.46,6.48,6.51,6.41,-0.25%
"Mar 03, 2022",6.47,6.38,6.5,6.35,1.55%
"Mar 02, 2022",6.37,6.34,6.39,6.23,0.62%
"Mar 01, 2022",6.34,6.33,6.35,6.3,0.00%
"Feb 28, 2022",6.33,6.29,6.35,6.29,0.73%
"Feb 25, 2022",6.28,6.37,6.4,6.28,-1.30%
"Feb 24, 2022",6.37,6.44,6.53,6.35,-1.09%
"Feb 23, 2022",6.44,6.41,6.47,6.36,0.47%
"Feb 22, 2022",6.41,6.32,6.43,6.32,1.33%
"Feb 21, 2022",6.32,6.26,6.35,6.25,1.07%
"Feb 18, 2022",6.26,6.21,6.3,6.2,0.82%
"Feb 17, 2022",6.21,6.28,6.29,6.19,-1.13%
"Feb 16, 2022",6.28,6.27,6.3,6.24,0.13%
"Feb 15, 2022",6.27,6.22,6.28,6.19,0.85%
"Feb 14, 2022",6.22,6.22,6.25,6.18,-0.19%
"Feb 11, 2022",6.23,6.23,6.3,6.21,0.00%
"Feb 10, 2022",6.23,6.25,6.3,6.21,-0.21%
"Feb 09, 2022",6.24,6.26,6.28,6.18,-0.14%
"Feb 08, 2022",6.25,6.27,6.28,6.23,-0.22%
"Feb 07, 2022",6.27,6.19,6.28,6.16,1.28%
"Feb 04, 2022",6.19,6.27,6.27,6.17,-1.21%
"Feb 03, 2022",6.26,6.3,6.31,6.22,-0.44%
"Feb 02, 2022",6.29,6.3,6.32,6.24,-0.14%
"Feb 01, 2022",6.3,6.27,6.31,6.24,0.64%
"Jan 31, 2022",6.26,6.23,6.3,6.17,0.58%
"Jan 28, 2022",6.23,6.16,6.23,6.14,1.10%
"Jan 27, 2022",6.16,6.1,6.22,6.09,1.08%
"Jan 26, 2022",6.09,6.06,6.13,6.05,0.54%
"Jan 25, 2022",6.06,6.01,6.08,5.99,0.78%
"Jan 24, 2022",6.01,6.04,6.07,5.98,-0.27%
"Jan 21, 2022",6.03,6.07,6.1,6.01,-0.72%
"Jan 20, 2022",6.07,6.05,6.1,6.03,0.38%
"Jan 19, 2022",6.05,5.94,6.06,5.93,1.80%
"Jan 18, 2022",5.94,6.0,6.01,5.93,-0.92%
"Jan 17, 2022",6.0,6.0,6.03,5.97,0.00%
"Jan 14, 2022",6.0,6.01,6.03,5.98,-0.13%
"Jan 13, 2022",6.01,6.02,6.04,5.98,-0.17%
"Jan 12, 2022",6.02,5.98,6.03,5.96,0.62%
"Jan 11, 2022",5.98,5.94,5.99,5.88,0.74%
"Jan 10, 2022",5.93,5.97,5.99,5.91,-0.50%
"Jan 07, 2022",5.97,5.9,5.98,5.89,1.07%
"Jan 06, 2022",5.9,5.82,5.92,5.82,1.53%
"Jan 05, 2022",5.81,5.86,5.88,5.8,-0.73%
"Jan 04, 2022",5.86,5.85,5.9,5.83,0.12%
