Date,Price,Open,High,Low,Change(%)
"Apr 27, 2022",26.845,26.775,26.905,26.755,0.43%
"Apr 26, 2022",26.73,26.815,26.945,26.705,-0.26%
"Apr 25, 2022",26.8,26.745,26.855,26.64,0.30%
"Apr 22, 2022",26.72,26.955,26.97,26.695,-0.85%
"Apr 21, 2022",26.95,27.015,27.16,26.915,-0.22%
"Apr 20, 2022",27.01,26.795,27.095,26.775,0.90%
"Apr 19, 2022",26.77,26.7,26.84,26.695,0.26%
"Apr 18, 2022",26.7,26.655,26.745,26.615,0.23%
"Apr 15, 2022",26.64,26.74,26.755,26.635,-0.34%
"Apr 14, 2022",26.73,26.66,26.895,26.63,0.30%
"Apr 13, 2022",26.65,26.57,26.725,26.425,0.38%
"Apr 12, 2022",26.55,26.605,26.675,26.52,-0.15%
"Apr 11, 2022",26.59,26.73,26.74,26.59,-0.49%
"Apr 08, 2022",26.72,26.605,26.74,26.58,0.49%
"Apr 07, 2022",26.59,26.78,26.8,26.545,-0.67%
"Apr 06, 2022",26.77,26.86,26.925,26.73,-0.30%
"Apr 05, 2022",26.85,26.8,26.95,26.75,0.30%
"Apr 04, 2022",26.77,26.765,26.87,26.7,0.11%
"Apr 01, 2022",26.74,26.63,26.815,26.59,0.45%
"Mar 31, 2022",26.62,26.71,26.725,26.515,-0.26%
"Mar 30, 2022",26.69,26.8,26.895,26.65,-0.37%
"Mar 29, 2022",26.79,26.985,27.005,26.74,-0.67%
"Mar 28, 2022",26.97,26.92,27.08,26.825,0.22%
"Apr 27, 2022",26.78,26.775,26.79,26.755,0.04%
"Apr 26, 2022",26.77,26.76,26.945,26.71,0.04%
"Apr 25, 2022",26.76,26.7,26.855,26.645,0.15%
"Apr 26, 2022",26.805,26.76,26.945,26.71,0.17%
"Apr 26, 2022",26.855,26.76,26.945,26.71,0.36%
"Apr 26, 2022",26.915,26.76,26.93,26.71,0.58%
"Apr 25, 2022",26.76,26.7,26.855,26.645,0.22%
"Apr 24, 2022",26.7,26.735,26.745,26.68,-0.07%
"Apr 26, 2022",26.755,26.76,26.76,26.745,-0.02%
"Apr 26, 2022",26.75,26.76,26.76,26.75,-0.04%
"Apr 25, 2022",26.74,26.7,26.76,26.645,0.15%
"Mar 25, 2022",26.91,26.76,26.965,26.68,0.60%
"Apr 25, 2022",26.68,26.7,26.74,26.65,-0.07%
"Apr 25, 2022",26.705,26.7,26.725,26.66,0.02%
"Mar 24, 2022",26.75,26.765,26.825,26.675,0.00%
"Mar 23, 2022",26.75,26.64,26.805,26.585,0.41%
"Mar 22, 2022",26.64,26.64,26.79,26.53,0.04%
"Mar 21, 2022",26.63,26.435,26.68,26.375,0.83%
"Mar 18, 2022",26.41,26.3,26.495,26.265,0.46%
"Mar 17, 2022",26.29,26.32,26.345,26.18,-0.04%
"Mar 16, 2022",26.3,26.265,26.335,26.14,0.19%
"Mar 15, 2022",26.25,26.09,26.29,26.03,0.65%
"Mar 14, 2022",26.08,26.15,26.23,26.06,-0.19%
"Mar 11, 2022",26.13,25.955,26.235,25.925,0.77%
"Mar 10, 2022",25.93,25.78,25.98,25.72,0.58%
"Mar 09, 2022",25.78,25.77,25.83,25.705,0.12%
"Mar 08, 2022",25.75,25.75,25.93,25.725,0.04%
"Mar 07, 2022",25.74,25.685,25.98,25.605,0.27%
"Mar 04, 2022",25.67,25.7,25.785,25.55,-0.08%
"Mar 03, 2022",25.69,25.755,25.915,25.62,-0.19%
"Mar 02, 2022",25.74,25.67,25.81,25.54,0.31%
"Mar 01, 2022",25.66,25.775,25.85,25.655,-0.43%
"Feb 28, 2022",25.77,25.43,25.83,25.375,0.94%
"Feb 25, 2022",25.53,25.47,25.59,25.33,0.27%
"Feb 24, 2022",25.46,25.345,25.6,25.32,0.51%
"Feb 23, 2022",25.33,25.395,25.485,25.295,-0.24%
"Feb 22, 2022",25.39,25.325,25.465,25.275,0.32%
"Feb 21, 2022",25.31,25.225,25.345,25.19,0.36%
"Feb 18, 2022",25.22,25.275,25.385,25.195,-0.16%
"Feb 17, 2022",25.26,25.43,25.49,25.245,-0.63%
"Feb 16, 2022",25.42,25.44,25.545,25.4,-0.04%
"Feb 15, 2022",25.43,25.485,25.515,25.345,-0.12%
"Feb 14, 2022",25.46,25.68,25.725,25.43,-0.90%
"Feb 11, 2022",25.69,25.735,25.775,25.63,-0.12%
"Feb 10, 2022",25.72,25.815,25.855,25.655,-0.31%
"Feb 09, 2022",25.8,25.89,25.95,25.75,-0.27%
"Feb 08, 2022",25.87,26.06,26.07,25.84,-0.69%
"Feb 07, 2022",26.05,25.85,26.07,25.77,0.85%
"Feb 04, 2022",25.83,26.125,26.135,25.81,-1.07%
"Feb 03, 2022",26.11,26.15,26.195,26.065,-0.11%
"Feb 02, 2022",26.14,26.165,26.235,26.08,-0.04%
"Feb 01, 2022",26.15,26.165,26.245,26.08,0.04%
"Jan 31, 2022",26.14,26.2,26.29,26.055,-0.15%
"Jan 28, 2022",26.18,26.14,26.225,26.065,0.19%
"Jan 27, 2022",26.13,26.135,26.29,26.045,0.04%
"Jan 26, 2022",26.12,26.125,26.3,26.075,0.00%
"Jan 25, 2022",26.12,26.125,26.2,26.04,0.04%
"Jan 24, 2022",26.11,26.16,26.335,26.045,-0.15%
"Jan 21, 2022",26.15,26.33,26.425,26.15,-0.65%
"Jan 20, 2022",26.32,26.305,26.5,26.23,0.15%
"Jan 19, 2022",26.28,26.44,26.6,26.295,-0.57%
"Jan 18, 2022",26.43,26.445,26.505,26.305,0.04%
"Jan 17, 2022",26.42,26.45,26.605,26.375,-0.08%
"Jan 14, 2022",26.44,26.53,26.645,26.39,-0.30%
"Jan 13, 2022",26.52,26.63,26.685,26.53,-0.38%
"Jan 12, 2022",26.62,26.495,26.655,26.47,0.53%
"Jan 11, 2022",26.48,26.52,26.56,26.39,-0.11%
"Jan 10, 2022",26.51,26.585,26.68,26.49,-0.26%
"Jan 07, 2022",26.58,26.355,26.605,26.335,0.87%
"Jan 06, 2022",26.35,26.03,26.42,26.015,1.27%
"Jan 05, 2022",26.02,26.17,26.21,26.005,-0.54%
"Jan 04, 2022",26.16,26.085,26.25,26.05,0.31%
"Jan 03, 2022",26.08,26.31,26.335,26.07,-0.80%
"Dec 31, 2021",26.29,26.185,26.31,26.02,0.46%
"Dec 30, 2021",26.17,26.2,26.21,26.005,-0.08%
"Dec 29, 2021",26.19,26.16,26.22,26.09,0.19%
"Dec 28, 2021",26.14,26.225,26.25,26.12,-0.27%
"Dec 27, 2021",26.21,26.1,26.25,26.07,0.46%
"Dec 24, 2021",26.09,26.16,26.18,26.04,-0.23%
"Dec 23, 2021",26.15,26.225,26.245,26.1,-0.23%
"Dec 22, 2021",26.21,26.08,26.24,26.05,0.54%
"Dec 21, 2021",26.07,25.975,26.13,25.95,0.42%
"Dec 20, 2021",25.96,25.85,26.02,25.83,0.46%
