Date,Price,Open,High,Low,Change(%)
"Apr 26, 2022",35.66,35.555,35.86,35.525,0.25%
"Apr 25, 2022",35.57,35.54,35.68,35.43,0.25%
"Apr 22, 2022",35.48,35.58,35.6,35.415,-0.20%
"Apr 21, 2022",35.55,35.605,35.76,35.48,-0.11%
"Apr 20, 2022",35.59,35.51,35.71,35.445,0.28%
"Apr 19, 2022",35.49,35.69,35.795,35.48,-0.45%
"Apr 18, 2022",35.65,35.605,35.745,35.59,0.00%
"Apr 15, 2022",35.65,35.755,35.795,35.61,-0.25%
"Apr 14, 2022",35.74,35.845,36.12,35.705,-0.25%
"Apr 13, 2022",35.83,35.99,36.015,35.785,-0.39%
"Apr 12, 2022",35.97,36.1,36.205,35.945,-0.30%
"Apr 11, 2022",36.08,36.12,36.155,35.885,0.42%
"Apr 08, 2022",35.93,35.84,36.015,35.805,0.28%
"Apr 07, 2022",35.83,36.0,36.06,35.8,-0.39%
"Apr 06, 2022",35.97,36.085,36.155,35.915,-0.22%
"Apr 05, 2022",36.05,36.115,36.205,36.02,-0.11%
"Apr 04, 2022",36.09,36.15,36.275,36.085,-0.22%
"Apr 01, 2022",36.17,36.075,36.245,36.02,0.31%
"Mar 31, 2022",36.06,36.115,36.22,35.92,-0.08%
"Mar 30, 2022",36.09,35.975,36.17,35.86,0.36%
"Mar 29, 2022",35.96,36.17,36.205,35.91,-0.53%
"Mar 28, 2022",36.15,36.1,36.205,36.005,0.19%
"Apr 26, 2022",35.84,35.555,35.84,35.525,0.76%
"Apr 26, 2022",35.625,35.555,35.66,35.525,0.15%
"Apr 25, 2022",35.57,35.54,35.68,35.43,0.07%
"Apr 24, 2022",35.545,35.475,35.565,35.445,0.18%
"Apr 26, 2022",35.575,35.555,35.575,35.55,0.01%
"Apr 26, 2022",35.55,35.555,35.555,35.55,-0.06%
"Apr 25, 2022",35.575,35.54,35.68,35.43,0.08%
"Mar 25, 2022",36.08,36.035,36.25,36.01,0.17%
"Apr 25, 2022",35.485,35.54,35.57,35.43,-0.17%
"Apr 25, 2022",35.485,35.54,35.56,35.47,-0.17%
"Mar 24, 2022",36.02,36.125,36.2,35.945,-0.28%
"Mar 23, 2022",36.12,35.905,36.165,35.79,0.61%
"Mar 22, 2022",35.9,35.92,36.04,35.76,-0.03%
"Mar 21, 2022",35.91,35.75,36.08,35.675,0.50%
"Mar 18, 2022",35.73,35.44,35.795,35.4,0.88%
"Mar 17, 2022",35.42,35.48,35.57,35.27,-0.08%
"Mar 16, 2022",35.45,35.635,35.68,35.37,-0.42%
"Mar 15, 2022",35.6,35.635,35.78,35.565,-0.08%
"Mar 14, 2022",35.63,35.695,35.84,35.575,0.06%
"Mar 11, 2022",35.61,35.615,35.825,35.59,0.03%
"Mar 10, 2022",35.6,35.66,35.795,35.54,-0.11%
"Mar 09, 2022",35.64,35.72,35.805,35.52,-0.17%
"Mar 08, 2022",35.7,35.67,35.88,35.625,0.11%
"Mar 07, 2022",35.66,35.61,35.855,35.525,0.03%
"Mar 04, 2022",35.65,35.53,35.705,35.41,0.39%
"Mar 03, 2022",35.51,35.34,35.535,35.17,0.59%
"Mar 02, 2022",35.3,35.615,35.67,35.16,-0.81%
"Mar 01, 2022",35.59,35.65,35.68,35.395,-0.11%
"Feb 28, 2022",35.63,34.975,35.7,34.965,1.60%
"Feb 25, 2022",35.07,35.26,35.29,34.965,-0.45%
"Feb 24, 2022",35.23,35.14,35.54,35.13,0.31%
"Feb 23, 2022",35.12,35.185,35.285,34.94,-0.17%
"Feb 22, 2022",35.18,35.255,35.465,35.085,-0.17%
"Feb 21, 2022",35.24,34.94,35.265,34.86,1.00%
"Feb 18, 2022",34.89,34.89,34.97,34.84,0.06%
"Feb 17, 2022",34.87,34.97,35.075,34.855,-0.20%
"Feb 16, 2022",34.94,34.945,35.065,34.885,0.00%
"Feb 15, 2022",34.94,35.09,35.165,34.895,-0.34%
"Feb 14, 2022",35.06,35.35,35.39,35.0,-0.76%
"Feb 11, 2022",35.33,35.355,35.42,35.185,-0.08%
"Feb 10, 2022",35.36,35.375,35.475,35.155,0.00%
"Feb 09, 2022",35.36,35.59,35.62,35.36,-0.59%
"Feb 08, 2022",35.57,35.71,35.75,35.51,-0.36%
"Feb 07, 2022",35.7,35.645,35.78,35.455,0.22%
"Feb 04, 2022",35.62,36.015,36.015,35.59,-1.03%
"Feb 03, 2022",35.99,36.07,36.135,35.9,-0.17%
"Feb 02, 2022",36.05,36.005,36.155,35.99,0.11%
"Feb 01, 2022",36.01,35.84,36.09,35.78,0.53%
