Date,Price,Open,High,Low,Change(%)
"Apr 26, 2022",5.2386,5.1971,5.2425,5.1872,0.69%
"Apr 25, 2022",5.2026,5.2235,5.2297,5.1755,-0.43%
"Apr 22, 2022",5.2249,5.2568,5.2606,5.2152,-0.57%
"Apr 21, 2022",5.2548,5.2624,5.2746,5.2414,-0.08%
"Apr 20, 2022",5.2589,5.2866,5.3022,5.2547,-0.49%
"Apr 19, 2022",5.2846,5.2913,5.3028,5.2786,-0.06%
"Apr 18, 2022",5.288,5.2785,5.2961,5.2705,0.25%
"Apr 15, 2022",5.2747,5.2819,5.293,5.2735,-0.09%
"Apr 14, 2022",5.2796,5.2637,5.2926,5.2542,0.37%
"Apr 13, 2022",5.2602,5.2733,5.2748,5.2532,-0.26%
"Apr 12, 2022",5.2741,5.2763,5.2941,5.2543,0.05%
"Apr 11, 2022",5.2714,5.2773,5.287,5.268,-0.05%
"Apr 08, 2022",5.274,5.2654,5.2899,5.2603,0.26%
"Apr 07, 2022",5.2605,5.2831,5.2846,5.249,-0.35%
"Apr 06, 2022",5.2791,5.271,5.2857,5.2677,0.19%
"Apr 05, 2022",5.2689,5.26,5.2726,5.2443,0.27%
"Apr 04, 2022",5.2548,5.2585,5.2726,5.2537,-0.15%
"Apr 01, 2022",5.2627,5.2508,5.2695,5.2454,0.27%
"Mar 31, 2022",5.2486,5.2539,5.2614,5.227,-0.03%
"Mar 30, 2022",5.2502,5.2607,5.2807,5.2366,-0.20%
"Mar 29, 2022",5.2605,5.3012,5.3043,5.2591,-0.73%
"Mar 28, 2022",5.299,5.2732,5.3096,5.2726,0.47%
"Apr 26, 2022",5.2393,5.1971,5.2425,5.1872,0.70%
"Apr 26, 2022",5.24,5.1971,5.2425,5.1872,0.72%
"Apr 26, 2022",5.2276,5.1971,5.2276,5.1872,0.48%
"Apr 24, 2022",5.2251,5.2271,5.2279,5.2202,0.00%
"Apr 26, 2022",5.1964,5.1971,5.1971,5.1956,-0.01%
"Apr 25, 2022",5.1971,5.2251,5.2328,5.1724,-0.54%
"Mar 25, 2022",5.2744,5.2625,5.2812,5.253,0.24%
