Date,Price,Open,High,Low,Change(%)
"Apr 29, 2022",4.8644,4.8625,4.8723,4.8321,0.10%
"Apr 28, 2022",4.8594,4.8744,4.8913,4.8505,-0.25%
"Apr 27, 2022",4.8716,4.9035,4.9247,4.8595,-0.62%
"Apr 26, 2022",4.9018,4.917,4.9355,4.9011,-0.27%
"Apr 25, 2022",4.9152,4.9299,4.9398,4.8997,-0.32%
"Apr 22, 2022",4.931,4.9374,4.9506,4.9181,-0.11%
"Apr 21, 2022",4.9363,4.9262,4.9714,4.9191,0.24%
"Apr 20, 2022",4.9244,4.9012,4.9352,4.8988,0.51%
"Apr 19, 2022",4.8995,4.8852,4.9089,4.8717,0.34%
"Apr 18, 2022",4.8831,4.8883,4.8944,4.8801,-0.04%
"Apr 15, 2022",4.885,4.904,4.905,4.8808,-0.36%
"Apr 14, 2022",4.9027,4.9076,4.9472,4.8736,-0.06%
"Apr 13, 2022",4.9058,4.8903,4.9111,4.8695,0.35%
"Apr 12, 2022",4.8889,4.9184,4.931,4.8773,-0.56%
"Apr 11, 2022",4.9164,4.9205,4.9369,4.9124,0.09%
"Apr 08, 2022",4.9122,4.8993,4.9195,4.8881,0.30%
"Apr 07, 2022",4.8975,4.9209,4.9292,4.8927,-0.45%
"Apr 06, 2022",4.9195,4.9183,4.938,4.9103,0.08%
"Apr 05, 2022",4.9154,4.9353,4.9453,4.9162,-0.35%
"Apr 04, 2022",4.9327,4.9694,4.9789,4.9321,-0.82%
"Apr 01, 2022",4.9735,4.9531,4.9832,4.9479,0.46%
"Mar 31, 2022",4.9508,5.0036,5.0125,4.9438,-0.99%
"Mar 30, 2022",5.0002,4.9947,5.0174,4.975,0.14%
"Mar 29, 2022",4.993,4.9891,5.024,4.9764,0.12%
"Apr 29, 2022",4.8578,4.8625,4.8723,4.8477,-0.03%
"Apr 28, 2022",4.8595,4.8744,4.8913,4.8505,-0.25%
"Mar 28, 2022",4.9868,4.9619,4.9963,4.9533,0.63%
"Apr 28, 2022",4.8742,4.8744,4.8913,4.8567,0.05%
"Apr 28, 2022",4.8839,4.8744,4.8871,4.8567,0.25%
"Apr 28, 2022",4.8825,4.8744,4.885,4.8567,0.22%
"Apr 28, 2022",4.8682,4.8744,4.8759,4.8659,-0.13%
"Apr 27, 2022",4.8745,4.9047,4.9236,4.8601,-0.56%
"Apr 27, 2022",4.8764,4.9047,4.9236,4.8601,-0.52%
"Apr 27, 2022",4.8703,4.9047,4.9236,4.8673,-0.64%
"Apr 27, 2022",4.8721,4.9047,4.9236,4.8673,-0.60%
"Apr 27, 2022",4.9096,4.9047,4.9236,4.9017,0.16%
"Apr 27, 2022",4.9054,4.9047,4.9078,4.9017,0.03%
"Apr 26, 2022",4.904,4.9097,4.9354,4.9015,-0.14%
"Apr 25, 2022",4.9111,4.9363,4.9394,4.8997,-0.40%
"Apr 26, 2022",4.9085,4.9097,4.9354,4.902,-0.05%
"Apr 26, 2022",4.9207,4.9097,4.9354,4.905,0.19%
