Date,Price,Open,High,Low,Change(%)
"Apr 26, 2022",36.525,36.521,36.71,36.476,-0.09%
"Apr 25, 2022",36.557,36.845,36.848,36.45,-0.30%
"Apr 22, 2022",36.667,36.752,36.831,36.589,-0.18%
"Apr 21, 2022",36.734,36.644,36.989,36.595,0.28%
"Apr 20, 2022",36.633,36.463,36.718,36.444,0.51%
"Apr 19, 2022",36.446,36.339,36.523,36.239,0.35%
"Apr 18, 2022",36.318,36.326,36.406,36.295,-0.00%
"Apr 15, 2022",36.319,36.48,36.49,36.306,-0.41%
"Apr 14, 2022",36.469,36.482,36.801,36.254,0.01%
"Apr 13, 2022",36.465,36.368,36.526,36.218,0.31%
"Apr 12, 2022",36.354,36.579,36.668,36.272,-0.58%
"Apr 11, 2022",36.567,36.742,36.797,36.533,0.09%
"Apr 08, 2022",36.533,36.434,36.589,36.354,0.31%
"Apr 07, 2022",36.419,36.596,36.66,36.391,-0.44%
"Apr 06, 2022",36.582,36.584,36.727,36.516,0.07%
"Apr 05, 2022",36.558,36.71,36.78,36.562,-0.34%
"Apr 04, 2022",36.684,36.997,37.035,36.685,-0.90%
"Apr 01, 2022",37.016,36.835,37.07,36.808,0.52%
"Mar 31, 2022",36.824,37.201,37.285,36.774,-0.97%
"Mar 30, 2022",37.186,37.153,37.321,37.005,0.14%
"Mar 29, 2022",37.135,37.096,37.373,37.011,0.17%
"Mar 28, 2022",37.073,36.918,37.169,36.848,0.54%
"Apr 26, 2022",36.625,36.521,36.71,36.483,0.19%
"Apr 26, 2022",36.64,36.521,36.677,36.483,0.23%
"Apr 25, 2022",36.557,36.845,36.848,36.45,-0.45%
"Apr 24, 2022",36.722,36.845,36.848,36.645,0.15%
"Apr 26, 2022",36.524,36.521,36.527,36.507,0.01%
"Apr 25, 2022",36.521,36.722,36.743,36.459,-0.55%
"Apr 25, 2022",36.566,36.722,36.743,36.459,-0.42%
"Mar 25, 2022",36.874,36.862,37.025,36.846,0.08%
"Apr 25, 2022",36.527,36.722,36.743,36.459,-0.53%
"Apr 25, 2022",36.626,36.722,36.743,36.623,-0.26%
"Mar 24, 2022",36.844,36.995,37.08,36.799,-0.38%
"Mar 23, 2022",36.984,36.939,37.141,36.865,0.14%
"Mar 22, 2022",36.933,36.965,37.075,36.767,-0.02%
"Mar 21, 2022",36.941,36.846,37.108,36.74,0.43%
"Mar 18, 2022",36.782,36.833,37.017,36.702,-0.09%
"Mar 17, 2022",36.815,36.822,36.988,36.612,0.09%
"Mar 16, 2022",36.781,36.741,36.859,36.602,0.23%
"Mar 15, 2022",36.697,36.605,36.952,36.546,0.29%
"Mar 14, 2022",36.591,36.468,36.744,36.326,0.73%
"Mar 11, 2022",36.327,36.39,36.708,36.307,-0.13%
"Mar 10, 2022",36.376,36.581,36.82,36.347,-0.53%
"Mar 09, 2022",36.57,36.198,36.65,36.149,1.12%
"Mar 08, 2022",36.163,35.829,36.352,35.802,0.98%
"Mar 07, 2022",35.812,35.816,35.961,35.501,0.26%
"Mar 04, 2022",35.717,36.069,36.11,35.606,-0.91%
"Mar 03, 2022",36.047,36.156,36.217,35.972,-0.30%
"Mar 02, 2022",36.154,36.385,36.463,35.946,-0.62%
"Mar 01, 2022",36.379,36.66,36.68,36.299,-0.75%
"Feb 28, 2022",36.653,36.287,36.761,36.102,0.25%
"Feb 25, 2022",36.561,36.531,36.651,36.276,0.12%
"Feb 24, 2022",36.516,36.507,36.754,36.362,0.09%
"Feb 23, 2022",36.483,36.721,36.795,36.444,-0.63%
"Feb 22, 2022",36.716,36.526,36.81,36.448,0.57%
"Feb 21, 2022",36.509,36.395,36.652,36.358,0.28%
"Feb 18, 2022",36.408,36.483,36.6,36.377,-0.16%
"Feb 17, 2022",36.466,36.706,36.8,36.441,-0.58%
"Feb 16, 2022",36.678,36.761,36.869,36.666,-0.16%
"Feb 15, 2022",36.737,36.674,36.841,36.533,0.23%
"Feb 14, 2022",36.651,37.129,37.196,36.587,-1.30%
"Feb 11, 2022",37.134,37.404,37.412,37.044,-0.68%
"Feb 10, 2022",37.389,37.384,37.463,37.213,0.10%
"Feb 09, 2022",37.35,37.572,37.634,37.343,-0.54%
"Feb 08, 2022",37.552,37.773,37.786,37.497,-0.55%
"Feb 07, 2022",37.759,37.835,37.839,37.555,-0.02%
"Feb 04, 2022",37.767,37.886,37.903,37.703,-0.28%
"Feb 03, 2022",37.871,37.453,37.928,37.364,1.17%
"Feb 02, 2022",37.432,37.416,37.602,37.371,0.08%
"Feb 01, 2022",37.402,37.331,37.465,37.252,0.23%
"Jan 31, 2022",37.316,37.274,37.383,37.122,0.20%
"Jan 28, 2022",37.24,37.127,37.347,37.032,0.36%
"Jan 27, 2022",37.106,37.216,37.329,37.037,-0.24%
"Jan 26, 2022",37.194,37.282,37.349,37.138,-0.22%
"Jan 25, 2022",37.275,37.382,37.433,37.166,-0.24%
"Jan 24, 2022",37.366,37.341,37.483,37.318,0.12%
"Jan 21, 2022",37.32,37.239,37.486,37.182,0.27%
"Jan 20, 2022",37.221,37.338,37.583,37.101,-0.24%
"Jan 19, 2022",37.312,37.461,37.656,37.312,-0.40%
"Jan 18, 2022",37.463,37.762,37.788,37.451,-0.75%
"Jan 17, 2022",37.746,37.906,38.084,37.654,-0.39%
"Jan 14, 2022",37.895,38.06,38.158,37.822,-0.37%
"Jan 13, 2022",38.035,38.117,38.164,37.958,-0.17%
"Jan 12, 2022",38.102,37.86,38.12,37.823,0.68%
"Jan 11, 2022",37.846,38.086,38.113,37.827,-0.59%
"Jan 10, 2022",38.071,38.174,38.27,37.973,-0.31%
