Date,Price,Open,High,Low,Change(%)
"Apr 27, 2022",43.252,43.144,43.304,43.11,0.27%
"Apr 26, 2022",43.138,43.411,43.667,43.093,-0.79%
"Apr 25, 2022",43.482,43.71,43.713,43.278,-0.29%
"Apr 22, 2022",43.607,44.187,44.214,43.551,-1.25%
"Apr 21, 2022",44.158,44.132,44.321,44.076,0.11%
"Apr 20, 2022",44.111,43.935,44.168,43.913,0.45%
"Apr 19, 2022",43.913,43.868,44.007,43.734,0.20%
"Apr 18, 2022",43.824,43.908,43.964,43.759,-0.15%
"Apr 15, 2022",43.888,44.021,44.073,43.882,-0.26%
"Apr 14, 2022",44.003,43.952,44.304,43.903,0.15%
"Apr 13, 2022",43.935,43.66,43.989,43.485,0.67%
"Apr 12, 2022",43.644,43.787,43.918,43.584,-0.28%
"Apr 11, 2022",43.767,43.825,43.871,43.694,-0.01%
"Apr 08, 2022",43.771,43.795,43.941,43.616,0.01%
"Apr 07, 2022",43.768,43.899,43.968,43.687,-0.26%
"Apr 06, 2022",43.882,43.887,44.01,43.796,0.15%
"Apr 05, 2022",43.817,43.876,44.0,43.801,-0.08%
"Apr 04, 2022",43.85,43.951,44.051,43.811,-0.14%
"Apr 01, 2022",43.912,43.735,43.986,43.694,0.46%
"Mar 31, 2022",43.71,43.784,43.848,43.569,-0.13%
"Mar 30, 2022",43.766,43.851,44.035,43.648,-0.20%
"Mar 29, 2022",43.852,44.209,44.301,43.76,-0.75%
"Mar 28, 2022",44.185,44.31,44.466,44.137,-0.16%
"Apr 27, 2022",43.137,43.144,43.166,43.11,-0.00%
"Apr 26, 2022",43.197,43.411,43.667,43.167,-0.66%
"Apr 26, 2022",43.489,43.411,43.667,43.346,0.02%
"Apr 26, 2022",43.492,43.411,43.667,43.346,0.02%
"Apr 26, 2022",43.487,43.411,43.667,43.346,0.01%
"Apr 26, 2022",43.576,43.411,43.589,43.346,0.22%
"Apr 25, 2022",43.482,43.71,43.713,43.278,-0.22%
"Apr 24, 2022",43.578,43.633,43.71,43.532,-0.07%
"Apr 26, 2022",43.405,43.411,43.415,43.401,-0.07%
"Apr 25, 2022",43.437,43.576,43.6,43.288,-0.33%
"Apr 25, 2022",43.445,43.576,43.6,43.288,-0.31%
"Mar 25, 2022",44.258,44.23,44.393,44.125,0.19%
"Apr 25, 2022",43.417,43.576,43.6,43.288,-0.37%
"Apr 25, 2022",43.432,43.576,43.6,43.288,-0.34%
"Apr 25, 2022",43.421,43.576,43.6,43.288,-0.36%
"Apr 25, 2022",43.328,43.576,43.6,43.288,-0.57%
"Apr 25, 2022",43.534,43.576,43.6,43.488,-0.10%
"Mar 24, 2022",44.176,44.397,44.488,44.137,-0.45%
"Mar 23, 2022",44.375,44.43,44.686,44.296,-0.07%
"Mar 22, 2022",44.404,44.185,44.464,44.015,0.56%
"Mar 21, 2022",44.155,43.916,44.29,43.82,0.67%
"Mar 18, 2022",43.863,43.668,43.971,43.634,0.50%
"Mar 17, 2022",43.645,43.875,43.952,43.472,-0.41%
"Mar 16, 2022",43.825,43.736,43.931,43.522,0.31%
"Mar 15, 2022",43.69,43.505,43.899,43.469,0.47%
"Mar 14, 2022",43.485,43.449,43.703,43.389,0.17%
"Mar 11, 2022",43.41,43.357,43.652,43.329,0.18%
"Mar 10, 2022",43.331,43.521,43.703,43.305,-0.43%
"Mar 09, 2022",43.517,43.504,43.601,43.416,0.09%
"Mar 08, 2022",43.476,43.257,43.637,43.236,0.55%
"Mar 07, 2022",43.237,43.252,43.52,43.136,0.01%
"Mar 04, 2022",43.233,43.494,43.648,43.141,-0.57%
"Mar 03, 2022",43.481,43.598,43.711,43.362,-0.21%
"Mar 02, 2022",43.573,43.579,43.703,43.219,0.01%
"Mar 01, 2022",43.569,43.86,43.904,43.509,-0.62%
"Feb 28, 2022",43.84,43.519,43.928,43.209,0.78%
"Feb 25, 2022",43.499,43.666,43.717,43.376,-0.33%
"Feb 24, 2022",43.643,43.706,43.963,43.592,-0.10%
"Feb 23, 2022",43.686,44.053,44.168,43.661,-0.79%
"Feb 22, 2022",44.033,43.926,44.144,43.809,0.32%
"Feb 21, 2022",43.894,43.685,43.976,43.668,0.43%
"Feb 18, 2022",43.705,43.715,43.867,43.643,0.01%
"Feb 17, 2022",43.701,43.843,43.93,43.679,-0.24%
"Feb 16, 2022",43.805,43.803,43.953,43.74,0.06%
"Feb 15, 2022",43.779,43.868,43.973,43.699,-0.16%
"Feb 14, 2022",43.851,44.389,44.411,43.832,-1.17%
"Feb 11, 2022",44.368,44.362,44.459,44.205,0.04%
"Feb 10, 2022",44.352,44.27,44.5,44.148,0.23%
"Feb 09, 2022",44.25,44.567,44.657,44.237,-0.67%
"Feb 08, 2022",44.55,44.688,44.713,44.506,-0.25%
"Feb 07, 2022",44.662,44.638,44.787,44.414,0.10%
"Feb 04, 2022",44.619,45.04,45.07,44.558,-0.88%
"Feb 03, 2022",45.016,44.98,45.175,44.868,0.10%
"Feb 02, 2022",44.97,44.873,45.091,44.834,0.22%
"Feb 01, 2022",44.873,44.684,44.91,44.599,0.47%
"Jan 31, 2022",44.664,44.808,44.925,44.59,-0.29%
"Jan 28, 2022",44.796,44.572,44.917,44.501,0.50%
"Jan 27, 2022",44.572,44.584,44.711,44.432,0.04%
"Jan 26, 2022",44.556,44.543,44.71,44.458,0.04%
"Jan 25, 2022",44.537,44.521,44.613,44.401,0.08%
"Jan 24, 2022",44.501,44.626,44.831,44.439,-0.24%
"Jan 21, 2022",44.606,44.771,44.975,44.57,-0.30%
"Jan 20, 2022",44.741,44.811,45.111,44.6,-0.05%
"Jan 19, 2022",44.764,44.987,45.208,44.792,-0.46%
"Jan 18, 2022",44.969,45.172,45.201,44.889,-0.40%
"Jan 17, 2022",45.151,45.415,45.623,45.067,-0.54%
"Jan 14, 2022",45.394,45.533,45.66,45.297,-0.26%
"Jan 13, 2022",45.514,45.633,45.739,45.472,-0.24%
"Jan 12, 2022",45.624,45.408,45.648,45.361,0.50%
"Jan 11, 2022",45.398,45.658,45.683,45.315,-0.54%
"Jan 10, 2022",45.646,45.691,45.838,45.522,-0.06%
"Jan 07, 2022",45.673,45.411,45.722,45.33,0.63%
"Jan 06, 2022",45.386,45.007,45.521,45.003,0.89%
"Jan 05, 2022",44.986,45.014,45.069,44.848,0.01%
"Jan 04, 2022",44.981,44.784,45.085,44.779,0.45%
"Jan 03, 2022",44.778,44.977,45.038,44.71,-0.40%
"Dec 31, 2021",44.957,45.022,45.056,44.65,-0.10%
"Dec 30, 2021",45.002,45.203,45.22,44.832,-0.40%
"Dec 29, 2021",45.181,45.064,45.232,44.876,0.30%
"Dec 28, 2021",45.044,45.061,45.11,44.931,-0.02%
"Dec 27, 2021",45.051,44.766,45.075,44.761,0.68%
"Dec 24, 2021",44.746,44.92,44.999,44.711,-0.38%
"Dec 23, 2021",44.917,44.95,45.088,44.756,0.00%
"Dec 22, 2021",44.916,44.688,45.029,44.61,0.53%
"Dec 21, 2021",44.677,44.389,44.738,44.368,0.68%
"Dec 20, 2021",44.376,44.151,44.5,44.077,0.61%
"Dec 17, 2021",44.109,44.511,44.568,44.099,-0.85%
"Dec 16, 2021",44.485,44.325,44.743,44.225,0.36%
"Dec 15, 2021",44.325,44.261,44.393,44.098,0.22%
"Dec 14, 2021",44.228,44.137,44.291,44.034,0.26%
"Dec 13, 2021",44.115,44.516,44.602,44.112,-1.11%
"Dec 10, 2021",44.61,44.419,44.642,44.361,0.47%
"Dec 09, 2021",44.403,44.237,44.471,44.04,0.38%
"Dec 08, 2021",44.237,44.619,44.624,44.112,-0.78%
"Dec 07, 2021",44.586,44.889,45.022,44.479,-0.64%
"Dec 06, 2021",44.872,44.833,44.996,44.701,0.22%
"Dec 03, 2021",44.774,45.089,45.198,44.75,-0.68%
"Dec 02, 2021",45.081,44.787,45.184,44.739,0.69%
"Dec 01, 2021",44.773,44.844,44.972,44.707,-0.10%
"Nov 30, 2021",44.817,44.896,45.082,44.556,-0.13%
"Nov 29, 2021",44.875,45.056,45.097,44.804,-0.33%
"Nov 26, 2021",45.022,44.475,45.093,44.451,1.26%
"Nov 25, 2021",44.462,44.475,44.563,44.317,0.03%
"Nov 24, 2021",44.449,44.294,44.654,44.263,0.38%
"Nov 23, 2021",44.281,44.23,44.385,44.173,0.14%
"Nov 22, 2021",44.22,44.12,44.301,44.049,0.28%
"Nov 19, 2021",44.096,43.95,44.199,43.884,0.34%
"Nov 18, 2021",43.947,44.012,44.081,43.854,-0.09%
"Nov 17, 2021",43.985,44.0,44.119,43.88,0.03%
"Nov 16, 2021",43.973,43.933,44.079,43.874,0.16%
"Nov 15, 2021",43.904,44.014,44.014,43.828,-0.15%
"Nov 12, 2021",43.968,43.951,44.008,43.703,0.07%
"Nov 11, 2021",43.937,43.984,44.187,43.809,-0.04%
"Nov 10, 2021",43.955,44.437,44.496,43.979,-1.04%
"Nov 09, 2021",44.416,44.653,44.69,44.317,-0.49%
"Nov 08, 2021",44.636,44.825,44.825,44.477,-0.37%
"Nov 05, 2021",44.8,45.002,45.063,44.696,-0.45%
"Nov 04, 2021",45.002,45.588,45.703,44.951,-1.24%
"Nov 03, 2021",45.568,45.287,45.779,45.265,0.64%
"Nov 02, 2021",45.28,45.528,45.549,45.25,-0.45%
"Nov 01, 2021",45.484,45.563,45.799,45.438,-0.20%
"Oct 29, 2021",45.577,45.783,45.922,45.544,-0.40%
"Oct 28, 2021",45.759,45.778,45.918,45.64,-0.01%
"Oct 27, 2021",45.764,45.73,45.882,45.595,0.13%
"Oct 26, 2021",45.703,45.512,45.896,45.397,0.44%
"Oct 25, 2021",45.503,45.85,45.868,45.486,-0.45%
"Oct 22, 2021",45.708,46.051,46.14,45.727,-0.71%
"Oct 21, 2021",46.034,46.131,46.191,45.985,-0.18%
"Oct 20, 2021",46.117,45.958,46.237,45.86,0.38%
"Oct 19, 2021",45.941,45.968,46.208,45.825,-0.02%
"Oct 18, 2021",45.951,45.944,46.027,45.842,-0.12%
"Oct 15, 2021",46.008,45.355,46.042,45.333,1.47%
"Oct 14, 2021",45.34,45.341,45.63,45.311,0.01%
"Oct 13, 2021",45.334,45.303,45.426,45.11,0.12%
"Oct 12, 2021",45.279,45.801,45.827,45.207,-1.08%
"Oct 11, 2021",45.774,46.107,46.259,45.715,-0.68%
"Oct 08, 2021",46.087,46.014,46.235,45.97,0.19%
"Oct 07, 2021",45.998,45.921,46.083,45.78,0.18%
"Oct 06, 2021",45.914,46.111,46.197,45.834,-0.39%
"Oct 05, 2021",46.093,45.965,46.166,45.909,0.32%
"Oct 04, 2021",45.947,45.506,46.034,45.491,1.02%
"Oct 01, 2021",45.484,45.374,45.687,45.219,0.27%
"Sep 30, 2021",45.36,45.588,45.702,45.272,-0.46%
"Sep 29, 2021",45.568,45.832,45.916,45.511,-0.53%
"Sep 28, 2021",45.813,46.02,46.186,45.733,-0.42%
"Sep 27, 2021",46.005,45.748,46.105,45.558,0.65%
"Sep 24, 2021",45.709,45.813,45.903,45.634,-0.16%
"Sep 23, 2021",45.784,45.597,45.927,45.278,0.46%
"Sep 22, 2021",45.576,45.576,45.752,45.489,0.02%
"Sep 21, 2021",45.566,45.58,45.834,45.498,0.01%
"Sep 20, 2021",45.563,45.783,45.83,45.493,-0.55%
"Sep 17, 2021",45.816,45.699,45.93,45.667,0.30%
"Sep 16, 2021",45.68,45.502,45.782,45.463,0.44%
"Sep 15, 2021",45.479,45.471,45.579,45.332,0.04%
"Sep 14, 2021",45.459,45.474,45.767,45.428,-0.01%
"Sep 13, 2021",45.465,45.246,45.556,45.226,0.47%
"Sep 10, 2021",45.254,45.275,45.367,45.19,0.00%
"Sep 09, 2021",45.254,45.129,45.358,44.987,0.36%
"Sep 08, 2021",45.09,45.019,45.21,44.954,0.18%
"Sep 07, 2021",45.011,44.925,45.121,44.854,0.24%
"Sep 06, 2021",44.905,45.052,45.111,44.775,-0.29%
"Sep 03, 2021",45.034,44.902,45.191,44.811,0.35%
"Sep 02, 2021",44.875,44.51,44.931,44.464,0.91%
"Sep 01, 2021",44.471,44.326,44.581,44.243,0.35%
"Aug 31, 2021",44.315,44.709,44.742,44.315,-0.83%
"Aug 30, 2021",44.686,44.769,44.87,44.551,-0.15%
"Aug 27, 2021",44.752,44.875,44.951,44.66,-0.25%
"Aug 26, 2021",44.864,45.15,45.183,44.806,-0.59%
"Aug 25, 2021",45.13,45.147,45.281,44.826,-0.01%
"Aug 24, 2021",45.134,45.616,45.707,45.049,-1.01%
"Aug 23, 2021",45.595,45.479,45.702,45.369,0.37%
"Aug 20, 2021",45.426,45.511,45.531,45.382,-0.13%
"Aug 19, 2021",45.483,45.804,45.875,45.464,-0.64%
"Aug 18, 2021",45.777,45.854,45.937,45.572,-0.12%
"Aug 17, 2021",45.83,46.279,46.304,45.765,-0.96%
"Aug 16, 2021",46.273,46.153,46.413,46.139,0.15%
"Aug 13, 2021",46.205,45.629,46.231,45.629,1.30%
"Aug 12, 2021",45.612,46.019,46.089,45.632,-0.84%
"Aug 11, 2021",46.0,46.327,46.336,45.916,-0.66%
"Aug 10, 2021",46.305,46.342,46.44,46.274,-0.04%
"Aug 09, 2021",46.322,46.415,46.493,46.294,-0.16%
"Aug 06, 2021",46.398,46.318,46.528,46.305,0.22%
"Aug 05, 2021",46.297,46.0,46.403,45.919,0.68%
"Aug 04, 2021",45.986,45.958,46.193,45.935,0.09%
"Aug 03, 2021",45.944,45.744,46.039,45.73,0.48%
"Aug 02, 2021",45.724,45.735,45.929,45.686,0.01%
"Jul 30, 2021",45.72,45.875,45.958,45.69,-0.31%
"Jul 29, 2021",45.862,45.647,45.973,45.602,0.52%
"Jul 28, 2021",45.627,45.71,45.764,45.511,-0.10%
"Jul 27, 2021",45.673,45.475,45.751,45.369,0.48%
"Jul 26, 2021",45.455,45.278,45.576,45.257,0.42%
"Jul 23, 2021",45.266,45.279,45.388,45.157,0.03%
"Jul 22, 2021",45.253,45.009,45.326,44.925,0.54%
"Jul 21, 2021",45.01,44.757,45.053,44.645,0.62%
"Jul 20, 2021",44.734,44.946,44.961,44.528,-0.40%
"Jul 19, 2021",44.913,45.194,45.258,44.864,-0.50%
"Jul 16, 2021",45.139,45.21,45.389,45.127,-0.11%
"Jul 15, 2021",45.19,45.204,45.411,45.085,-0.00%
"Jul 14, 2021",45.191,45.082,45.367,45.053,0.27%
"Jul 13, 2021",45.069,45.374,45.41,45.009,-0.61%
"Jul 12, 2021",45.346,45.211,45.445,45.125,0.35%
"Jul 09, 2021",45.186,44.868,45.234,44.808,0.76%
"Jul 08, 2021",44.843,44.591,44.884,44.586,0.60%
"Jul 07, 2021",44.574,44.519,44.675,44.463,0.16%
"Jul 06, 2021",44.505,44.467,44.691,44.438,0.11%
"Jul 05, 2021",44.456,44.493,44.56,44.381,0.08%
"Jul 02, 2021",44.421,44.154,44.482,44.099,0.65%
"Jul 01, 2021",44.134,44.294,44.326,44.1,-0.32%
"Jun 30, 2021",44.274,44.423,44.492,44.209,-0.28%
"Jun 29, 2021",44.397,44.321,44.471,44.264,0.22%
"Jun 28, 2021",44.301,44.165,44.521,44.125,0.33%
"Jun 25, 2021",44.157,44.415,44.435,44.095,-0.54%
