Date,Price,Open,High,Low,Change(%)
"Apr 26, 2022",4.3734,4.3454,4.3742,4.335,0.67%
"Apr 25, 2022",4.3442,4.3293,4.3518,4.3241,0.35%
"Apr 22, 2022",4.329,4.3227,4.3322,4.3117,0.18%
"Apr 21, 2022",4.3213,4.3054,4.3229,4.3046,0.40%
"Apr 20, 2022",4.3039,4.3099,4.3223,4.3003,-0.11%
"Apr 19, 2022",4.3086,4.2978,4.3117,4.29,0.29%
"Apr 18, 2022",4.2963,4.2863,4.3004,4.281,0.27%
"Apr 15, 2022",4.2846,4.2957,4.2996,4.2833,-0.23%
"Apr 14, 2022",4.2944,4.2745,4.2998,4.2684,0.49%
"Apr 13, 2022",4.2733,4.286,4.286,4.2668,-0.26%
"Apr 12, 2022",4.2843,4.288,4.3014,4.2696,-0.06%
"Apr 11, 2022",4.2867,4.2862,4.2965,4.279,0.05%
"Apr 08, 2022",4.2847,4.2729,4.2937,4.27,0.31%
"Apr 07, 2022",4.2716,4.2856,4.2882,4.2594,-0.28%
"Apr 06, 2022",4.2838,4.2817,4.2923,4.2783,0.10%
"Apr 05, 2022",4.2796,4.2701,4.2827,4.2605,0.27%
"Apr 04, 2022",4.268,4.2784,4.2821,4.267,-0.17%
"Apr 01, 2022",4.2751,4.2502,4.2803,4.2467,0.61%
"Mar 31, 2022",4.2491,4.2596,4.266,4.2389,-0.21%
"Mar 30, 2022",4.2582,4.2812,4.2927,4.2519,-0.50%
"Mar 29, 2022",4.2798,4.3148,4.3173,4.2758,-0.77%
"Mar 28, 2022",4.3131,4.2916,4.3187,4.2882,0.55%
"Apr 26, 2022",4.3718,4.3454,4.3728,4.335,0.64%
"Apr 26, 2022",4.3578,4.3454,4.3591,4.335,0.31%
"Apr 25, 2022",4.3442,4.3293,4.3518,4.3241,0.34%
"Apr 24, 2022",4.3293,4.3314,4.3319,4.3254,0.01%
"Apr 26, 2022",4.3441,4.3454,4.3454,4.3429,-0.00%
"Apr 26, 2022",4.3429,4.3454,4.3454,4.3429,-0.03%
"Apr 25, 2022",4.3482,4.3293,4.351,4.3241,0.44%
"Mar 25, 2022",4.2896,4.2848,4.294,4.2716,0.14%
"Apr 25, 2022",4.3339,4.3293,4.3441,4.3241,0.11%
"Apr 25, 2022",4.333,4.3293,4.3358,4.3241,0.08%
"Mar 24, 2022",4.2835,4.297,4.3105,4.2821,-0.29%
"Mar 23, 2022",4.2958,4.279,4.3065,4.2729,0.39%
"Mar 22, 2022",4.2789,4.2875,4.3072,4.2731,-0.16%
"Mar 21, 2022",4.2859,4.2578,4.2899,4.2522,0.74%
"Mar 18, 2022",4.2544,4.2477,4.2709,4.2452,0.19%
"Mar 17, 2022",4.2464,4.2668,4.2708,4.2435,-0.40%
"Mar 16, 2022",4.2634,4.2839,4.29,4.2502,-0.40%
"Mar 15, 2022",4.2805,4.2722,4.2896,4.2687,0.20%
"Mar 14, 2022",4.272,4.2567,4.2751,4.2495,0.44%
"Mar 11, 2022",4.2533,4.2351,4.2607,4.2329,0.47%
"Mar 10, 2022",4.2335,4.2239,4.2422,4.2162,0.26%
"Mar 09, 2022",4.2224,4.2463,4.2507,4.2164,-0.50%
"Mar 08, 2022",4.2435,4.2215,4.2502,4.219,0.55%
"Mar 07, 2022",4.2202,4.185,4.2308,4.1799,0.87%
"Mar 04, 2022",4.1837,4.1696,4.191,4.1642,0.37%
"Mar 03, 2022",4.1683,4.1636,4.1778,4.1462,0.18%
"Mar 02, 2022",4.161,4.1839,4.1924,4.1494,-0.54%
"Mar 01, 2022",4.1838,4.1822,4.1921,4.1596,0.07%
"Feb 28, 2022",4.1809,4.1571,4.1982,4.1569,0.60%
"Feb 25, 2022",4.1558,4.1804,4.1831,4.1514,-0.56%
"Feb 24, 2022",4.179,4.1346,4.2114,4.1307,1.11%
"Feb 23, 2022",4.1332,4.1554,4.1628,4.1244,-0.53%
"Feb 22, 2022",4.1553,4.1391,4.1631,4.1334,0.43%
"Feb 21, 2022",4.1377,4.1237,4.1395,4.1135,0.36%
"Feb 18, 2022",4.123,4.1171,4.1271,4.1129,0.17%
"Feb 17, 2022",4.1158,4.1367,4.1445,4.1131,-0.44%
"Feb 16, 2022",4.1338,4.1481,4.1581,4.1322,-0.31%
"Feb 15, 2022",4.1467,4.1572,4.1634,4.1367,-0.20%
"Feb 14, 2022",4.1551,4.1961,4.1961,4.1529,-0.95%
"Feb 11, 2022",4.1948,4.1989,4.2038,4.1831,-0.06%
"Feb 10, 2022",4.1973,4.1987,4.2064,4.1775,0.00%
"Feb 09, 2022",4.1973,4.2225,4.2252,4.195,-0.57%
"Feb 08, 2022",4.2212,4.2361,4.2387,4.2148,-0.32%
"Feb 07, 2022",4.2347,4.2358,4.2476,4.2133,0.01%
"Feb 04, 2022",4.2343,4.2499,4.2512,4.2283,-0.33%
"Feb 03, 2022",4.2484,4.2498,4.2594,4.2464,0.00%
"Feb 02, 2022",4.2484,4.2596,4.2656,4.2448,-0.23%
"Feb 01, 2022",4.2582,4.2617,4.2692,4.2558,-0.05%
"Jan 31, 2022",4.2602,4.2915,4.2949,4.2593,-0.66%
"Jan 28, 2022",4.2886,4.2758,4.2941,4.2629,0.32%
"Jan 27, 2022",4.2748,4.2523,4.2776,4.2453,0.57%
"Jan 26, 2022",4.2505,4.2383,4.2608,4.2283,0.32%
"Jan 25, 2022",4.2369,4.2396,4.2518,4.2319,-0.03%
"Jan 24, 2022",4.2382,4.2277,4.2516,4.2276,0.28%
"Jan 21, 2022",4.2265,4.2279,4.2477,4.2217,0.00%
"Jan 20, 2022",4.2265,4.226,4.2505,4.2106,0.07%
"Jan 19, 2022",4.2234,4.2467,4.2666,4.2215,-0.51%
"Jan 18, 2022",4.2451,4.2486,4.2544,4.2196,-0.05%
"Jan 17, 2022",4.2473,4.266,4.2842,4.2388,-0.41%
"Jan 14, 2022",4.2647,4.266,4.2731,4.2548,-0.00%
"Jan 13, 2022",4.2649,4.2755,4.2786,4.2585,-0.22%
"Jan 12, 2022",4.2741,4.273,4.2926,4.2666,0.06%
"Jan 11, 2022",4.2716,4.3141,4.3144,4.2705,-0.95%
"Jan 10, 2022",4.3127,4.3123,4.3287,4.3058,0.03%
"Jan 07, 2022",4.3112,4.3021,4.3257,4.2903,0.24%
"Jan 06, 2022",4.3008,4.2583,4.3071,4.258,1.03%
"Jan 05, 2022",4.2568,4.2674,4.2716,4.2489,-0.22%
"Jan 04, 2022",4.2661,4.263,4.2802,4.2613,0.08%
"Jan 03, 2022",4.2629,4.2638,4.2793,4.2481,0.01%
"Dec 31, 2021",4.2624,4.2772,4.2789,4.2509,-0.32%
"Dec 30, 2021",4.2759,4.2979,4.298,4.2708,-0.48%
"Dec 29, 2021",4.2967,4.3009,4.3115,4.2931,-0.07%
"Dec 28, 2021",4.2995,4.2993,4.3052,4.2917,0.04%
"Dec 27, 2021",4.2979,4.2871,4.3063,4.2839,0.29%
"Dec 24, 2021",4.2856,4.2969,4.3021,4.2799,-0.23%
"Dec 23, 2021",4.2956,4.3168,4.321,4.2926,-0.43%
"Dec 22, 2021",4.314,4.3186,4.3399,4.3098,-0.08%
"Dec 21, 2021",4.3175,4.3081,4.3301,4.3056,0.24%
"Dec 20, 2021",4.307,4.2717,4.3117,4.2708,0.86%
"Dec 17, 2021",4.2703,4.2825,4.2847,4.2647,-0.22%
"Dec 16, 2021",4.2799,4.2847,4.2927,4.2757,-0.08%
"Dec 15, 2021",4.2833,4.2854,4.2944,4.2773,0.01%
"Dec 14, 2021",4.2827,4.28,4.2889,4.2724,0.09%
"Dec 13, 2021",4.2787,4.3122,4.3123,4.2731,-0.74%
"Dec 10, 2021",4.3108,4.3092,4.3235,4.2993,0.06%
"Dec 09, 2021",4.308,4.2961,4.3134,4.2787,0.31%
"Dec 08, 2021",4.2949,4.32,4.3202,4.2851,-0.52%
"Dec 07, 2021",4.3173,4.3384,4.3464,4.3096,-0.45%
"Dec 06, 2021",4.337,4.3455,4.3501,4.3325,-0.10%
"Dec 03, 2021",4.3415,4.3486,4.3646,4.3305,-0.16%
"Dec 02, 2021",4.3485,4.3282,4.3524,4.3233,0.50%
"Dec 01, 2021",4.3269,4.3246,4.3334,4.3128,0.09%
"Nov 30, 2021",4.323,4.3232,4.3394,4.305,0.03%
"Nov 29, 2021",4.3219,4.3303,4.3309,4.3099,-0.16%
"Nov 26, 2021",4.329,4.2825,4.3306,4.281,1.12%
"Nov 25, 2021",4.2811,4.279,4.2891,4.2607,0.09%
"Nov 24, 2021",4.2774,4.2494,4.2849,4.246,0.69%
"Nov 23, 2021",4.2479,4.2389,4.2564,4.2333,0.25%
"Nov 22, 2021",4.2375,4.2089,4.2431,4.2073,0.71%
"Nov 19, 2021",4.2076,4.1829,4.2182,4.1814,0.62%
"Nov 18, 2021",4.1815,4.1909,4.1957,4.1795,-0.19%
"Nov 17, 2021",4.1896,4.207,4.2194,4.1884,-0.38%
"Nov 16, 2021",4.2057,4.2023,4.2089,4.1943,0.11%
"Nov 15, 2021",4.2009,4.2089,4.2089,4.1897,-0.16%
"Nov 12, 2021",4.2075,4.2172,4.2198,4.1998,-0.23%
"Nov 11, 2021",4.2171,4.2137,4.232,4.2031,0.18%
"Nov 10, 2021",4.2097,4.2077,4.2157,4.194,0.08%
"Nov 09, 2021",4.2063,4.228,4.2295,4.2003,-0.48%
"Nov 08, 2021",4.2267,4.267,4.2682,4.2242,-0.91%
"Nov 05, 2021",4.2654,4.2852,4.2907,4.2575,-0.40%
"Nov 04, 2021",4.2825,4.2793,4.3006,4.273,0.11%
"Nov 03, 2021",4.278,4.2751,4.2983,4.2727,0.10%
"Nov 02, 2021",4.2737,4.278,4.2853,4.2685,-0.08%
"Nov 01, 2021",4.2772,4.2808,4.3046,4.2749,-0.05%
"Oct 29, 2021",4.2794,4.2688,4.2912,4.2607,0.28%
"Oct 28, 2021",4.2674,4.2808,4.2878,4.2661,-0.29%
"Oct 27, 2021",4.28,4.2716,4.2951,4.2624,0.24%
"Oct 26, 2021",4.2697,4.2519,4.2762,4.2417,0.44%
"Oct 25, 2021",4.2511,4.2772,4.2866,4.2512,-0.59%
"Oct 22, 2021",4.2762,4.2947,4.2987,4.2759,-0.40%
"Oct 21, 2021",4.2932,4.2928,4.3011,4.2874,0.04%
"Oct 20, 2021",4.2913,4.2854,4.3057,4.2853,0.17%
"Oct 19, 2021",4.2839,4.3053,4.3053,4.2721,-0.48%
"Oct 18, 2021",4.3045,4.2962,4.3073,4.2944,0.04%
"Oct 15, 2021",4.3027,4.2644,4.304,4.261,0.93%
"Oct 14, 2021",4.263,4.2676,4.2785,4.2614,-0.08%
"Oct 13, 2021",4.2662,4.2843,4.2878,4.2628,-0.39%
"Oct 12, 2021",4.283,4.3299,4.3336,4.2766,-1.06%
"Oct 11, 2021",4.3287,4.3512,4.3576,4.3195,-0.49%
"Oct 08, 2021",4.3498,4.3404,4.3614,4.3317,0.25%
"Oct 07, 2021",4.3391,4.3434,4.35,4.3271,-0.07%
"Oct 06, 2021",4.342,4.3444,4.3651,4.3382,-0.04%
"Oct 05, 2021",4.3437,4.3366,4.3492,4.3332,0.20%
"Oct 04, 2021",4.3352,4.3149,4.3429,4.3147,0.50%
"Oct 01, 2021",4.3136,4.3257,4.3411,4.3148,-0.25%
"Sep 30, 2021",4.3243,4.3619,4.3649,4.3145,-0.83%
"Sep 29, 2021",4.3605,4.3486,4.3675,4.3377,0.26%
"Sep 28, 2021",4.3492,4.3169,4.3541,4.3116,0.78%
"Sep 27, 2021",4.3155,4.2952,4.3175,4.2795,0.50%
"Sep 24, 2021",4.2939,4.2893,4.299,4.2804,0.14%
"Sep 23, 2021",4.2879,4.2972,4.3165,4.2566,-0.18%
"Sep 22, 2021",4.2958,4.2856,4.3014,4.2842,0.27%
"Sep 21, 2021",4.2841,4.2852,4.3026,4.2791,0.00%
"Sep 20, 2021",4.2841,4.2853,4.2898,4.2768,-0.00%
"Sep 17, 2021",4.2842,4.2584,4.2856,4.2553,0.64%
"Sep 16, 2021",4.257,4.2251,4.2606,4.2203,0.79%
"Sep 15, 2021",4.2237,4.2337,4.2417,4.2207,-0.20%
"Sep 14, 2021",4.2323,4.225,4.2385,4.2196,0.20%
"Sep 13, 2021",4.2237,4.2056,4.2319,4.2031,0.46%
"Sep 10, 2021",4.2042,4.2069,4.2152,4.1924,-0.03%
"Sep 09, 2021",4.2056,4.2129,4.2176,4.1977,-0.14%
"Sep 08, 2021",4.2116,4.2009,4.2235,4.1995,0.29%
"Sep 07, 2021",4.1994,4.177,4.2073,4.1717,0.58%
"Sep 06, 2021",4.1753,4.181,4.189,4.1576,-0.10%
"Sep 03, 2021",4.1795,4.1769,4.2016,4.1665,0.09%
"Sep 02, 2021",4.1757,4.1544,4.1811,4.1505,0.54%
"Sep 01, 2021",4.1532,4.1441,4.1658,4.1369,0.25%
"Aug 31, 2021",4.1427,4.1726,4.1739,4.1368,-0.68%
"Aug 30, 2021",4.1712,4.1784,4.1844,4.1622,-0.14%
"Aug 27, 2021",4.1771,4.2069,4.2154,4.1752,-0.68%
"Aug 26, 2021",4.2055,4.2151,4.2199,4.199,-0.19%
"Aug 25, 2021",4.2137,4.2214,4.2368,4.1976,-0.19%
"Aug 24, 2021",4.2219,4.2675,4.2759,4.2171,-1.02%
"Aug 23, 2021",4.2655,4.2821,4.2884,4.2635,-0.35%
"Aug 20, 2021",4.2806,4.2811,4.2882,4.2743,-0.01%
"Aug 19, 2021",4.281,4.2751,4.2934,4.2744,0.18%
"Aug 18, 2021",4.2731,4.2824,4.2828,4.2537,-0.18%
"Aug 17, 2021",4.2809,4.2927,4.2987,4.2645,-0.26%
"Aug 16, 2021",4.2919,4.2852,4.2996,4.2799,0.22%
"Aug 13, 2021",4.2823,4.2474,4.2887,4.2473,0.86%
"Aug 12, 2021",4.2459,4.2642,4.2712,4.2353,-0.40%
"Aug 11, 2021",4.2629,4.2999,4.3028,4.257,-0.83%
"Aug 10, 2021",4.2985,4.3,4.304,4.2975,-0.00%
"Aug 09, 2021",4.2987,4.2984,4.3021,4.2917,-0.02%
"Aug 06, 2021",4.2996,4.2753,4.301,4.2752,0.60%
"Aug 05, 2021",4.274,4.2596,4.2781,4.2519,0.37%
"Aug 04, 2021",4.2581,4.2457,4.2636,4.2451,0.31%
"Aug 03, 2021",4.245,4.2393,4.2481,4.2351,0.17%
"Aug 02, 2021",4.2379,4.2329,4.2421,4.2315,0.15%
"Jul 30, 2021",4.2316,4.2281,4.2375,4.224,0.10%
"Jul 29, 2021",4.2273,4.2207,4.2347,4.2154,0.19%
"Jul 28, 2021",4.2193,4.2298,4.2332,4.2168,-0.21%
"Jul 27, 2021",4.2283,4.2311,4.2393,4.2211,-0.03%
"Jul 26, 2021",4.2295,4.2399,4.2455,4.2294,-0.24%
"Jul 23, 2021",4.2398,4.2325,4.2434,4.2297,0.20%
