Date,Price,Open,High,Low,Change(%)
"Apr 26, 2022",0.4475,0.4441,0.448,0.4433,0.67%
"Apr 25, 2022",0.4445,0.4441,0.445,0.443,0.09%
"Apr 22, 2022",0.4441,0.4446,0.4451,0.4432,-0.07%
"Apr 21, 2022",0.4444,0.4429,0.445,0.4427,0.43%
"Apr 20, 2022",0.4425,0.4421,0.4435,0.4413,0.14%
"Apr 19, 2022",0.4419,0.4417,0.4428,0.4406,0.09%
"Apr 18, 2022",0.4415,0.4406,0.4422,0.4399,0.30%
"Apr 15, 2022",0.4402,0.4416,0.442,0.4402,-0.25%
"Apr 14, 2022",0.4413,0.4403,0.4429,0.4396,0.32%
"Apr 13, 2022",0.4399,0.4412,0.4414,0.439,-0.29%
"Apr 12, 2022",0.4412,0.4432,0.4441,0.4399,-0.38%
"Apr 11, 2022",0.4429,0.4422,0.4439,0.4414,0.18%
"Apr 08, 2022",0.4421,0.4412,0.4439,0.4408,0.27%
"Apr 07, 2022",0.4409,0.4424,0.4426,0.4401,-0.25%
"Apr 06, 2022",0.442,0.4444,0.446,0.441,-0.50%
"Apr 05, 2022",0.4442,0.4436,0.4453,0.4424,0.25%
"Apr 04, 2022",0.4431,0.4403,0.4448,0.4399,0.57%
"Apr 01, 2022",0.4406,0.4385,0.4412,0.4381,0.55%
"Mar 31, 2022",0.4382,0.4399,0.441,0.4376,-0.27%
"Mar 30, 2022",0.4394,0.4425,0.4439,0.4384,-0.72%
"Mar 29, 2022",0.4426,0.4439,0.4448,0.4421,-0.27%
"Mar 28, 2022",0.4438,0.4401,0.4445,0.4401,0.82%
"Apr 26, 2022",0.4475,0.4441,0.448,0.4433,0.69%
"Apr 26, 2022",0.4477,0.4441,0.448,0.4433,0.72%
"Apr 26, 2022",0.4476,0.4441,0.448,0.4433,0.71%
"Apr 26, 2022",0.4465,0.4441,0.4468,0.4433,0.45%
"Apr 25, 2022",0.4445,0.4441,0.445,0.443,0.07%
"Apr 24, 2022",0.4442,0.4441,0.4444,0.4438,0.02%
"Apr 26, 2022",0.4441,0.4441,0.4441,0.4441,-0.06%
"Apr 25, 2022",0.4443,0.4441,0.445,0.443,0.02%
"Apr 25, 2022",0.4442,0.4441,0.445,0.443,0.00%
"Mar 25, 2022",0.4402,0.4392,0.4408,0.4379,0.25%
"Apr 25, 2022",0.4442,0.4441,0.445,0.443,-0.01%
"Apr 25, 2022",0.4446,0.4441,0.4449,0.443,0.10%
"Apr 25, 2022",0.4438,0.4441,0.4448,0.443,-0.09%
"Apr 25, 2022",0.4436,0.4441,0.4448,0.4432,-0.14%
"Mar 24, 2022",0.4391,0.4392,0.4412,0.4387,0.00%
"Mar 23, 2022",0.4391,0.4397,0.4422,0.4391,-0.11%
"Mar 22, 2022",0.4396,0.4396,0.4419,0.439,0.00%
"Mar 21, 2022",0.4396,0.4375,0.4409,0.4374,0.46%
"Mar 18, 2022",0.4376,0.4374,0.4399,0.4365,0.11%
"Mar 17, 2022",0.4371,0.4383,0.4392,0.4355,-0.09%
"Mar 16, 2022",0.4375,0.4389,0.4405,0.4367,-0.21%
"Mar 15, 2022",0.4384,0.4376,0.4392,0.4366,0.23%
"Mar 14, 2022",0.4374,0.4352,0.4378,0.4349,0.53%
"Mar 11, 2022",0.4351,0.4342,0.436,0.4338,0.28%
"Mar 10, 2022",0.4339,0.4326,0.4352,0.4317,0.42%
"Mar 09, 2022",0.4321,0.432,0.433,0.4304,0.16%
"Mar 08, 2022",0.4314,0.4287,0.4324,0.4286,0.65%
"Mar 07, 2022",0.4286,0.4277,0.4306,0.4263,0.21%
"Mar 04, 2022",0.4277,0.429,0.4309,0.4268,-0.23%
"Mar 03, 2022",0.4287,0.4301,0.4308,0.4281,-0.23%
"Mar 02, 2022",0.4297,0.4315,0.4324,0.4279,-0.37%
"Mar 01, 2022",0.4313,0.4325,0.4338,0.4311,-0.25%
"Feb 28, 2022",0.4324,0.4357,0.4367,0.4318,0.07%
"Feb 25, 2022",0.4321,0.4315,0.4337,0.4289,0.16%
"Feb 24, 2022",0.4314,0.4324,0.4349,0.4301,-0.19%
"Feb 23, 2022",0.4322,0.4344,0.4351,0.4317,-0.51%
"Feb 22, 2022",0.4344,0.433,0.435,0.4317,0.32%
"Feb 21, 2022",0.433,0.4304,0.4333,0.4297,0.58%
"Feb 18, 2022",0.4305,0.4275,0.4315,0.4274,0.73%
"Feb 17, 2022",0.4274,0.4301,0.4308,0.4272,-0.51%
"Feb 16, 2022",0.4296,0.4302,0.4317,0.4295,-0.14%
"Feb 15, 2022",0.4302,0.4286,0.4308,0.427,0.47%
"Feb 14, 2022",0.4282,0.4339,0.4343,0.4281,-1.36%
"Feb 11, 2022",0.4341,0.4356,0.4365,0.4324,-0.32%
"Feb 10, 2022",0.4355,0.4372,0.4381,0.4334,-0.32%
"Feb 09, 2022",0.4369,0.4405,0.4408,0.4368,-0.75%
"Feb 08, 2022",0.4402,0.4423,0.4426,0.4397,-0.38%
"Feb 07, 2022",0.4419,0.4419,0.4431,0.4397,0.02%
"Feb 04, 2022",0.4418,0.4437,0.4437,0.4408,-0.38%
"Feb 03, 2022",0.4435,0.4428,0.4439,0.4423,0.23%
"Feb 02, 2022",0.4425,0.4441,0.4451,0.4424,-0.29%
"Feb 01, 2022",0.4438,0.446,0.4466,0.4435,-0.36%
"Jan 31, 2022",0.4454,0.4455,0.4466,0.4448,0.02%
"Jan 28, 2022",0.4453,0.4428,0.446,0.4417,0.61%
"Jan 27, 2022",0.4426,0.4422,0.4435,0.4401,0.20%
"Jan 26, 2022",0.4417,0.4412,0.443,0.4396,0.16%
"Jan 25, 2022",0.441,0.4421,0.4435,0.4406,-0.23%
"Jan 24, 2022",0.442,0.443,0.4444,0.4417,-0.02%
"Jan 21, 2022",0.4421,0.4419,0.4446,0.4415,0.07%
"Jan 20, 2022",0.4418,0.4421,0.4453,0.4407,0.02%
"Jan 19, 2022",0.4417,0.4437,0.4457,0.4419,-0.43%
"Jan 18, 2022",0.4436,0.4457,0.446,0.4428,-0.43%
"Jan 17, 2022",0.4455,0.4477,0.4491,0.4445,-0.49%
"Jan 14, 2022",0.4477,0.4491,0.45,0.4467,-0.25%
"Jan 13, 2022",0.4488,0.4512,0.4517,0.4487,-0.51%
"Jan 12, 2022",0.4511,0.4512,0.4527,0.4504,0.04%
"Jan 11, 2022",0.4509,0.4543,0.4543,0.451,-0.70%
"Jan 10, 2022",0.4541,0.453,0.455,0.4521,0.33%
"Jan 07, 2022",0.4526,0.4512,0.454,0.4495,0.35%
"Jan 06, 2022",0.451,0.4471,0.4516,0.4463,0.94%
"Jan 05, 2022",0.4468,0.4463,0.4473,0.4444,0.18%
"Jan 04, 2022",0.446,0.4468,0.448,0.4457,-0.13%
"Jan 03, 2022",0.4466,0.4462,0.4489,0.4455,0.13%
"Dec 31, 2021",0.446,0.4483,0.4487,0.4451,-0.47%
"Dec 30, 2021",0.4481,0.4494,0.4498,0.4469,-0.24%
"Dec 29, 2021",0.4492,0.4489,0.4498,0.4478,0.11%
"Dec 28, 2021",0.4487,0.4471,0.4494,0.4464,0.40%
"Dec 27, 2021",0.4469,0.4458,0.448,0.4454,0.31%
"Dec 24, 2021",0.4455,0.4463,0.4471,0.445,-0.20%
"Dec 23, 2021",0.4464,0.4462,0.4469,0.4444,0.13%
"Dec 22, 2021",0.4458,0.4449,0.448,0.4444,0.22%
"Dec 21, 2021",0.4448,0.4438,0.4476,0.4435,0.27%
"Dec 20, 2021",0.4436,0.4386,0.4441,0.4383,1.23%
"Dec 17, 2021",0.4382,0.4387,0.4392,0.4371,0.00%
"Dec 16, 2021",0.4382,0.4377,0.4401,0.4371,0.14%
"Dec 15, 2021",0.4376,0.4396,0.4397,0.4369,-0.39%
"Dec 14, 2021",0.4393,0.4407,0.4415,0.4392,-0.27%
"Dec 13, 2021",0.4405,0.4433,0.4436,0.4399,-0.77%
"Dec 10, 2021",0.4439,0.4442,0.4451,0.4433,-0.07%
"Dec 09, 2021",0.4442,0.4442,0.445,0.4424,0.02%
"Dec 08, 2021",0.4441,0.4467,0.4467,0.443,-0.52%
"Dec 07, 2021",0.4464,0.4489,0.4498,0.4455,-0.51%
"Dec 06, 2021",0.4487,0.4502,0.4503,0.4482,-0.27%
"Dec 03, 2021",0.4499,0.4518,0.4534,0.4495,-0.40%
"Dec 02, 2021",0.4517,0.4496,0.4527,0.4491,0.51%
"Dec 01, 2021",0.4494,0.4494,0.4511,0.4479,0.13%
"Nov 30, 2021",0.4488,0.4493,0.4507,0.4469,-0.07%
"Nov 29, 2021",0.4491,0.4491,0.4512,0.4478,-0.11%
"Nov 26, 2021",0.4496,0.4482,0.4507,0.4478,0.38%
"Nov 25, 2021",0.4479,0.4471,0.4489,0.4455,0.20%
"Nov 24, 2021",0.447,0.4448,0.4485,0.4444,0.54%
"Nov 23, 2021",0.4446,0.4435,0.4455,0.443,0.29%
"Nov 22, 2021",0.4433,0.4413,0.4442,0.4409,0.57%
"Nov 19, 2021",0.4408,0.4393,0.4421,0.4388,0.39%
"Nov 18, 2021",0.4391,0.4393,0.4405,0.4383,-0.05%
"Nov 17, 2021",0.4393,0.4399,0.4412,0.439,-0.11%
"Nov 16, 2021",0.4398,0.4397,0.4404,0.439,0.05%
"Nov 15, 2021",0.4396,0.4405,0.4408,0.4389,-0.29%
"Nov 12, 2021",0.4409,0.4422,0.4424,0.4399,-0.27%
"Nov 11, 2021",0.4421,0.4412,0.443,0.4406,0.32%
"Nov 10, 2021",0.4407,0.4419,0.4428,0.4399,-0.25%
"Nov 09, 2021",0.4418,0.4456,0.4456,0.4417,-0.76%
"Nov 08, 2021",0.4452,0.4471,0.4478,0.4446,-0.49%
"Nov 05, 2021",0.4474,0.4473,0.4489,0.4466,0.07%
"Nov 04, 2021",0.4471,0.4475,0.4502,0.4467,-0.02%
"Nov 03, 2021",0.4472,0.4453,0.4491,0.445,0.45%
"Nov 02, 2021",0.4452,0.4449,0.4462,0.444,0.09%
"Nov 01, 2021",0.4448,0.4446,0.4467,0.4442,0.16%
"Oct 29, 2021",0.4441,0.4439,0.4453,0.4423,0.07%
"Oct 28, 2021",0.4438,0.4435,0.4455,0.443,0.09%
"Oct 27, 2021",0.4434,0.4432,0.4454,0.4426,0.09%
"Oct 26, 2021",0.443,0.4406,0.4439,0.4395,0.57%
"Oct 25, 2021",0.4405,0.4442,0.4442,0.4403,-0.61%
"Oct 22, 2021",0.4432,0.4462,0.4466,0.4433,-0.54%
"Oct 21, 2021",0.4456,0.446,0.4472,0.4453,-0.04%
"Oct 20, 2021",0.4458,0.4437,0.4469,0.4437,0.56%
"Oct 19, 2021",0.4433,0.4452,0.4453,0.4426,-0.38%
"Oct 18, 2021",0.445,0.4454,0.4462,0.4434,-0.20%
"Oct 15, 2021",0.4459,0.4422,0.4461,0.4421,0.88%
"Oct 14, 2021",0.442,0.4408,0.4424,0.4403,0.32%
"Oct 13, 2021",0.4406,0.4415,0.4424,0.4396,-0.18%
"Oct 12, 2021",0.4414,0.4469,0.4471,0.4408,-1.12%
"Oct 11, 2021",0.4464,0.4507,0.4514,0.4453,-0.93%
"Oct 08, 2021",0.4506,0.4514,0.453,0.4503,-0.16%
"Oct 07, 2021",0.4513,0.4523,0.453,0.4507,-0.15%
"Oct 06, 2021",0.452,0.4536,0.455,0.4516,-0.31%
"Oct 05, 2021",0.4534,0.4529,0.4543,0.4525,0.20%
"Oct 04, 2021",0.4525,0.4534,0.4549,0.4525,-0.04%
"Oct 01, 2021",0.4527,0.4541,0.4552,0.4529,-0.26%
"Sep 30, 2021",0.4539,0.457,0.4573,0.4529,-0.63%
"Sep 29, 2021",0.4568,0.4561,0.4576,0.455,0.15%
"Sep 28, 2021",0.4561,0.4552,0.4566,0.4546,0.24%
"Sep 27, 2021",0.455,0.4529,0.4552,0.4512,0.49%
"Sep 24, 2021",0.4528,0.4522,0.4538,0.4514,0.13%
"Sep 23, 2021",0.4522,0.4534,0.4549,0.4498,-0.15%
"Sep 22, 2021",0.4529,0.4527,0.4544,0.4518,0.13%
"Sep 21, 2021",0.4523,0.453,0.4547,0.4522,-0.13%
"Sep 20, 2021",0.4529,0.4521,0.4534,0.4516,0.04%
"Sep 17, 2021",0.4527,0.4505,0.4529,0.4502,0.53%
"Sep 16, 2021",0.4503,0.4478,0.4507,0.4471,0.63%
"Sep 15, 2021",0.4475,0.4473,0.4482,0.4456,0.11%
"Sep 14, 2021",0.447,0.4468,0.448,0.446,0.09%
"Sep 13, 2021",0.4466,0.4446,0.447,0.4446,0.43%
"Sep 10, 2021",0.4447,0.4449,0.4455,0.4437,0.02%
"Sep 09, 2021",0.4446,0.4441,0.4453,0.4428,0.23%
"Sep 08, 2021",0.4436,0.4448,0.4469,0.4432,-0.22%
"Sep 07, 2021",0.4446,0.4439,0.4453,0.4426,0.11%
"Sep 06, 2021",0.4441,0.4451,0.446,0.4428,-0.18%
"Sep 03, 2021",0.4449,0.4446,0.4469,0.4433,0.11%
"Sep 02, 2021",0.4444,0.4426,0.4453,0.4422,0.43%
