Date,Price,Open,High,Low,Change(%)
"Apr 22, 2022",0.2642,0.2638,0.2652,0.263,0.20%
"Apr 21, 2022",0.2637,0.2638,0.2648,0.2628,-0.04%
"Apr 20, 2022",0.2638,0.261,0.2647,0.261,1.06%
"Apr 19, 2022",0.261,0.2681,0.2682,0.261,-2.65%
"Apr 18, 2022",0.2681,0.2662,0.2692,0.2661,0.71%
"Apr 17, 2022",0.2662,0.2668,0.267,0.2661,-0.13%
"Apr 15, 2022",0.2666,0.2671,0.2673,0.2663,-0.16%
"Apr 14, 2022",0.267,0.2671,0.2691,0.2669,0.00%
"Apr 13, 2022",0.2671,0.2675,0.2676,0.2653,-0.17%
"Apr 12, 2022",0.2675,0.2678,0.2689,0.2668,-0.12%
"Apr 11, 2022",0.2678,0.2698,0.27,0.2671,-0.72%
"Apr 10, 2022",0.2698,0.2696,0.2699,0.2693,-0.12%
"Apr 08, 2022",0.2701,0.2698,0.2712,0.2694,0.10%
"Apr 07, 2022",0.2698,0.2713,0.2719,0.2696,-0.53%
"Apr 06, 2022",0.2713,0.2712,0.2717,0.2703,0.02%
"Apr 05, 2022",0.2712,0.2724,0.2736,0.271,-0.41%
"Apr 04, 2022",0.2724,0.2736,0.2742,0.2721,-0.46%
"Apr 03, 2022",0.2736,0.2738,0.2739,0.2734,0.28%
"Apr 01, 2022",0.2729,0.2733,0.2737,0.2716,-0.15%
"Mar 31, 2022",0.2733,0.2728,0.2745,0.2712,0.20%
"Mar 30, 2022",0.2727,0.272,0.2759,0.272,0.23%
"Mar 29, 2022",0.2721,0.2733,0.2748,0.2715,-0.41%
"Mar 28, 2022",0.2732,0.2748,0.2753,0.2701,-0.59%
"Mar 27, 2022",0.2748,0.2751,0.2753,0.2747,-0.11%
"Mar 25, 2022",0.2751,0.2738,0.2765,0.2738,0.46%
"Mar 24, 2022",0.2738,0.2775,0.2783,0.2736,-1.33%
"Mar 23, 2022",0.2775,0.2759,0.2791,0.2758,0.58%
"Mar 22, 2022",0.2759,0.2808,0.2812,0.2759,-1.72%
"Mar 21, 2022",0.2808,0.2795,0.2817,0.2794,0.45%
"Mar 20, 2022",0.2795,0.2789,0.2797,0.2789,0.00%
"Mar 18, 2022",0.2795,0.2804,0.2811,0.2791,-0.33%
"Mar 17, 2022",0.2804,0.2802,0.2809,0.2792,0.08%
"Mar 16, 2022",0.2802,0.2832,0.2834,0.2801,-1.04%
"Mar 15, 2022",0.2832,0.2827,0.2849,0.2824,0.15%
"Mar 14, 2022",0.2827,0.2829,0.2841,0.2823,-0.07%
"Mar 13, 2022",0.2829,0.2841,0.2841,0.2829,-0.34%
"Mar 11, 2022",0.2839,0.2849,0.2857,0.2836,-0.36%
"Mar 10, 2022",0.2849,0.2847,0.2863,0.2842,0.07%
"Mar 09, 2022",0.2847,0.287,0.287,0.2845,-0.77%
"Mar 08, 2022",0.287,0.2862,0.2877,0.2856,0.26%
"Mar 07, 2022",0.2862,0.2858,0.2883,0.2848,0.16%
"Mar 06, 2022",0.2858,0.2845,0.2862,0.2842,0.47%
"Mar 04, 2022",0.2844,0.2821,0.2857,0.2819,0.84%
