Date,Price,Open,High,Low,Change(%)
"Apr 26, 2022",0.0274,0.0273,0.0274,0.0273,0.38%
"Apr 25, 2022",0.0272,0.0273,0.0273,0.0271,-0.19%
"Apr 22, 2022",0.0273,0.0273,0.0274,0.0272,0.00%
"Apr 21, 2022",0.0273,0.0274,0.0274,0.0272,-0.28%
"Apr 20, 2022",0.0273,0.0273,0.0275,0.0272,0.35%
"Apr 19, 2022",0.0272,0.0273,0.0274,0.0272,0.00%
"Apr 18, 2022",0.0273,0.0274,0.0274,0.0272,-0.23%
"Apr 15, 2022",0.0273,0.0274,0.0275,0.0273,0.00%
"Apr 14, 2022",0.0274,0.0274,0.0275,0.0273,0.00%
"Apr 13, 2022",0.0274,0.0273,0.0274,0.0272,0.21%
"Apr 12, 2022",0.0273,0.0272,0.0274,0.0272,0.46%
"Apr 11, 2022",0.0272,0.0273,0.0273,0.0272,-0.47%
"Apr 08, 2022",0.0273,0.0274,0.0275,0.0273,-0.19%
"Apr 07, 2022",0.0274,0.0276,0.0276,0.0274,-0.73%
"Apr 06, 2022",0.0276,0.0275,0.0276,0.0275,0.29%
"Apr 05, 2022",0.0275,0.0275,0.0276,0.0275,0.00%
"Apr 04, 2022",0.0275,0.0274,0.0276,0.0274,0.23%
"Apr 01, 2022",0.0275,0.0274,0.0275,0.0273,0.33%
"Mar 31, 2022",0.0274,0.0275,0.0276,0.0273,-0.60%
"Mar 30, 2022",0.0275,0.0277,0.0277,0.0275,-0.54%
"Mar 29, 2022",0.0277,0.0276,0.0277,0.0275,0.32%
"Mar 28, 2022",0.0276,0.0274,0.0276,0.0274,0.70%
"Apr 26, 2022",0.0274,0.0273,0.0274,0.0273,0.42%
"Apr 25, 2022",0.0272,0.0273,0.0273,0.0271,0.00%
"Apr 24, 2022",0.0273,0.0273,0.0273,0.0273,0.00%
"Apr 26, 2022",0.0273,0.0273,0.0273,0.0273,0.00%
"Mar 25, 2022",0.0274,0.0274,0.0276,0.0274,0.00%
"Apr 25, 2022",0.0272,0.0273,0.0273,0.0271,-0.51%
"Apr 25, 2022",0.0272,0.0273,0.0273,0.0272,-0.23%
"Mar 24, 2022",0.0274,0.0276,0.0276,0.0274,-0.55%
"Mar 23, 2022",0.0276,0.0276,0.0277,0.0275,0.00%
"Mar 22, 2022",0.0276,0.0275,0.0276,0.0274,0.00%
"Mar 21, 2022",0.0275,0.0275,0.0276,0.0275,0.21%
"Mar 18, 2022",0.0275,0.0274,0.0276,0.0274,0.26%
"Mar 17, 2022",0.0274,0.0272,0.0275,0.0271,0.82%
"Mar 16, 2022",0.0272,0.027,0.0273,0.0269,0.81%
"Mar 15, 2022",0.027,0.0269,0.027,0.0269,0.24%
"Mar 14, 2022",0.0269,0.0269,0.027,0.0269,0.00%
"Mar 11, 2022",0.0269,0.027,0.027,0.0269,0.00%
"Mar 10, 2022",0.0269,0.027,0.0271,0.0268,0.00%
"Mar 09, 2022",0.027,0.0269,0.027,0.0268,0.36%
"Mar 08, 2022",0.0269,0.0268,0.027,0.0267,0.43%
"Mar 07, 2022",0.0268,0.0268,0.0269,0.0267,-0.21%
"Mar 04, 2022",0.0268,0.027,0.027,0.0268,-0.47%
"Mar 03, 2022",0.027,0.027,0.0271,0.0269,-0.20%
"Mar 02, 2022",0.027,0.0271,0.0272,0.0269,-0.40%
"Mar 01, 2022",0.0271,0.0272,0.0273,0.0271,0.00%
"Feb 28, 2022",0.0272,0.0273,0.0274,0.0271,0.34%
"Feb 25, 2022",0.0271,0.0271,0.0272,0.0269,0.00%
"Feb 24, 2022",0.0271,0.0271,0.0272,0.027,0.00%
"Feb 23, 2022",0.027,0.0272,0.0273,0.027,-0.38%
"Feb 22, 2022",0.0271,0.027,0.0273,0.027,0.55%
"Feb 21, 2022",0.027,0.0269,0.0271,0.0268,0.41%
"Feb 18, 2022",0.0269,0.0268,0.027,0.0268,0.44%
