Date,Price,Open,High,Low,Change(%)
"Apr 29, 2022",7.8569,7.8941,7.9028,7.8499,-0.41%
"Apr 28, 2022",7.8896,7.8819,7.9083,7.8771,0.10%
"Apr 27, 2022",7.8819,7.8737,7.8926,7.8647,0.14%
"Apr 26, 2022",7.871,7.8366,7.886,7.8173,0.50%
"Apr 25, 2022",7.8316,7.852,7.859,7.7941,-0.24%
"Apr 22, 2022",7.8507,7.9026,7.9026,7.8428,-0.58%
"Apr 21, 2022",7.8966,7.8888,7.9039,7.8743,0.23%
"Apr 20, 2022",7.8787,7.9445,7.9492,7.8764,-0.76%
"Apr 19, 2022",7.9394,7.9187,7.9469,7.9093,0.30%
"Apr 18, 2022",7.9159,7.94,7.9519,7.9055,-0.19%
"Apr 15, 2022",7.9306,7.9617,7.9641,7.933,-0.33%
"Apr 14, 2022",7.9565,7.9234,7.9688,7.9092,0.51%
"Apr 13, 2022",7.9159,7.931,7.9423,7.9069,-0.18%
"Apr 12, 2022",7.9301,7.9447,7.9627,7.905,-0.12%
"Apr 11, 2022",7.9395,7.9569,7.9683,7.9291,-0.18%
"Apr 08, 2022",7.9541,7.9393,7.9749,7.9304,0.26%
"Apr 07, 2022",7.9337,7.9715,7.9715,7.9144,-0.37%
"Apr 06, 2022",7.963,7.9658,7.9787,7.9545,0.04%
"Apr 05, 2022",7.9596,7.936,7.9682,7.9215,0.45%
"Apr 04, 2022",7.9242,7.9468,7.9587,7.9258,-0.31%
"Apr 01, 2022",7.9492,7.9172,7.9634,7.9095,0.48%
"Mar 31, 2022",7.9116,7.932,7.9439,7.8934,-0.16%
"Mar 30, 2022",7.9244,7.9459,7.9827,7.9153,-0.29%
"Mar 29, 2022",7.9478,8.0114,8.0164,7.9435,-0.72%
"Apr 28, 2022",7.8957,7.8819,7.9083,7.8771,0.18%
"Mar 28, 2022",8.0052,7.9729,8.0185,7.9729,0.43%
"Apr 28, 2022",7.8991,7.8819,7.9069,7.8771,0.22%
"Apr 28, 2022",7.8953,7.8819,7.9069,7.8771,0.17%
"Apr 28, 2022",7.8856,7.8819,7.8924,7.8819,0.05%
"Apr 27, 2022",7.8819,7.8737,7.8926,7.8647,0.12%
"Apr 26, 2022",7.8726,7.8274,7.886,7.8173,0.52%
"Apr 27, 2022",7.883,7.8737,7.8926,7.8647,0.13%
"Apr 27, 2022",7.8842,7.8737,7.8926,7.8647,0.15%
"Apr 27, 2022",7.8903,7.8737,7.8924,7.8667,0.23%
"Apr 27, 2022",7.8712,7.8737,7.8774,7.8671,-0.02%
"Apr 26, 2022",7.8726,7.8274,7.886,7.8173,0.61%
"Apr 25, 2022",7.8251,7.852,7.859,7.7952,-0.33%
"Apr 26, 2022",7.8794,7.8274,7.886,7.8173,0.69%
"Apr 26, 2022",7.8749,7.8274,7.886,7.8173,0.64%
"Apr 26, 2022",7.8737,7.8274,7.886,7.8173,0.62%
"Apr 26, 2022",7.8653,7.8274,7.8653,7.8173,0.51%
"Apr 25, 2022",7.8251,7.852,7.859,7.7952,-0.37%
"Apr 24, 2022",7.8543,7.852,7.859,7.8474,0.05%
