Date,Price,Open,High,Low,Change(%)
"Apr 29, 2022",3.6811,3.6573,3.6985,3.6553,0.66%
"Apr 28, 2022",3.6571,3.6823,3.7122,3.6457,-0.64%
"Apr 27, 2022",3.6806,3.7065,3.7308,3.6679,-0.70%
"Apr 26, 2022",3.7064,3.7386,3.7602,3.7062,-0.91%
"Apr 25, 2022",3.7405,3.8152,3.8152,3.7183,-1.29%
"Apr 22, 2022",3.7895,3.8162,3.8282,3.7868,-0.78%
"Apr 21, 2022",3.8194,3.8344,3.8658,3.8087,-0.20%
"Apr 20, 2022",3.8272,3.8247,3.8554,3.8174,0.09%
"Apr 19, 2022",3.8238,3.8021,3.844,3.792,0.91%
"Apr 18, 2022",3.7892,3.8133,3.8287,3.7866,-0.38%
"Apr 15, 2022",3.8036,3.8356,3.8405,3.8097,-0.80%
"Apr 14, 2022",3.8341,3.8263,3.8568,3.8115,0.23%
"Apr 13, 2022",3.8252,3.8304,3.8373,3.7787,-0.01%
"Apr 12, 2022",3.8254,3.8121,3.8414,3.8082,0.43%
"Apr 11, 2022",3.809,3.8807,3.886,3.8094,-1.30%
"Apr 08, 2022",3.8591,3.8022,3.867,3.7958,1.57%
"Apr 07, 2022",3.7993,3.8194,3.8277,3.7908,-0.39%
"Apr 06, 2022",3.8141,3.8315,3.8473,3.7817,-0.26%
"Apr 05, 2022",3.8239,3.8375,3.8586,3.7933,-0.20%
"Apr 04, 2022",3.8314,3.8317,3.8763,3.8133,0.14%
"Apr 01, 2022",3.8259,3.7864,3.836,3.7798,1.05%
"Mar 31, 2022",3.786,3.8926,3.897,3.7757,-2.68%
"Mar 30, 2022",3.8902,3.8644,3.8954,3.8424,0.62%
"Mar 29, 2022",3.8663,3.875,3.9122,3.8537,-0.25%
"Apr 29, 2022",3.6825,3.6573,3.6902,3.6553,0.70%
"Apr 28, 2022",3.6593,3.6823,3.7122,3.6457,-0.58%
"Apr 27, 2022",3.6806,3.7065,3.7308,3.6679,-0.77%
"Apr 26, 2022",3.7093,3.7379,3.7593,3.7041,-0.83%
"Mar 28, 2022",3.8758,3.9018,3.9228,3.8586,-0.49%
"Apr 28, 2022",3.6765,3.6823,3.7122,3.6729,-0.11%
"Apr 28, 2022",3.7075,3.6823,3.7075,3.6729,0.73%
"Apr 28, 2022",3.6775,3.6823,3.6826,3.6754,-0.12%
"Apr 27, 2022",3.682,3.7093,3.7299,3.6685,-0.73%
"Apr 27, 2022",3.6822,3.7093,3.7299,3.6685,-0.73%
"Apr 27, 2022",3.686,3.7093,3.7299,3.6841,-0.63%
"Apr 27, 2022",3.7251,3.7093,3.7299,3.7076,0.43%
"Apr 27, 2022",3.7115,3.7093,3.7125,3.7076,0.06%
"Apr 26, 2022",3.7173,3.7379,3.7593,3.7095,-0.62%
"Apr 26, 2022",3.7332,3.7379,3.7593,3.722,-0.19%
"Apr 26, 2022",3.7581,3.7379,3.7593,3.7324,0.47%
"Apr 25, 2022",3.7405,3.8152,3.8152,3.7183,-1.49%
"Apr 24, 2022",3.797,3.8043,3.8043,3.7949,0.20%
"Apr 26, 2022",3.7396,3.7379,3.7396,3.7371,0.05%
"Apr 25, 2022",3.7379,3.7965,3.8005,3.7201,-1.56%
"Mar 25, 2022",3.8947,3.8643,3.906,3.8602,0.84%
"Apr 25, 2022",3.7382,3.7965,3.8005,3.7201,-1.55%
"Apr 25, 2022",3.7333,3.7965,3.8005,3.7201,-1.68%
"Apr 25, 2022",3.766,3.7965,3.8005,3.7553,-0.82%
"Apr 25, 2022",3.7771,3.7965,3.8005,3.7767,-0.53%
"Mar 24, 2022",3.8623,3.8675,3.9042,3.8578,-0.05%
"Mar 23, 2022",3.8642,3.8236,3.8742,3.8108,1.09%
"Mar 22, 2022",3.8227,3.8348,3.8475,3.8057,-0.31%
"Mar 21, 2022",3.8345,3.8051,3.8442,3.7937,0.77%
"Mar 18, 2022",3.8053,3.772,3.8168,3.7672,1.07%
"Mar 17, 2022",3.765,3.7526,3.7865,3.7236,0.45%
"Mar 16, 2022",3.748,3.7264,3.7578,3.7085,0.73%
"Mar 15, 2022",3.721,3.699,3.7423,3.6906,0.66%
"Mar 14, 2022",3.6967,3.7159,3.7424,3.689,-0.05%
"Mar 11, 2022",3.6984,3.7025,3.749,3.6902,0.10%
"Mar 10, 2022",3.6947,3.708,3.7197,3.6876,-0.17%
"Mar 09, 2022",3.7011,3.6914,3.7194,3.6802,0.42%
"Mar 08, 2022",3.6856,3.6459,3.715,3.6301,1.02%
"Mar 07, 2022",3.6483,3.6542,3.6846,3.6194,-0.06%
"Mar 04, 2022",3.6505,3.6565,3.669,3.6147,-0.05%
"Mar 03, 2022",3.6524,3.6731,3.6837,3.6416,-0.51%
"Mar 02, 2022",3.6712,3.6827,3.6946,3.6426,-0.27%
"Mar 01, 2022",3.6813,3.7059,3.7243,3.6706,-0.62%
"Feb 28, 2022",3.7042,3.6597,3.7194,3.5852,1.05%
"Feb 25, 2022",3.6656,3.6427,3.68,3.6163,0.68%
"Feb 24, 2022",3.6408,3.6291,3.6514,3.5982,0.39%
"Feb 23, 2022",3.6266,3.6444,3.6559,3.6223,-0.24%
"Feb 22, 2022",3.6354,3.5821,3.6554,3.5718,1.50%
"Feb 21, 2022",3.5816,3.5839,3.602,3.5693,0.22%
"Feb 18, 2022",3.5739,3.5965,3.6188,3.5714,-0.62%
"Feb 17, 2022",3.5961,3.6338,3.6476,3.5914,-0.91%
"Feb 16, 2022",3.6293,3.6351,3.647,3.6263,-0.06%
