Date,Price,Open,High,Low,Change(%)
"Apr 26, 2022",22.58,22.55,22.77,22.525,0.07%
"Apr 25, 2022",22.565,22.495,22.61,22.39,-0.02%
"Apr 22, 2022",22.57,22.865,22.865,22.515,-1.23%
"Apr 21, 2022",22.85,22.98,23.02,22.795,-0.52%
"Apr 20, 2022",22.97,22.775,23.025,22.735,0.92%
"Apr 19, 2022",22.76,22.695,22.815,22.66,0.31%
"Apr 18, 2022",22.69,22.81,22.82,22.635,-0.26%
"Apr 15, 2022",22.75,22.865,22.9,22.715,-0.48%
"Apr 14, 2022",22.86,22.775,23.005,22.735,0.44%
"Apr 13, 2022",22.76,23.015,23.11,22.65,-1.04%
"Apr 12, 2022",23.0,22.94,23.095,22.905,0.31%
"Apr 11, 2022",22.93,22.99,23.04,22.905,-0.26%
"Apr 08, 2022",22.99,23.105,23.155,22.915,-0.35%
"Apr 07, 2022",23.07,23.255,23.28,23.03,-0.73%
"Apr 06, 2022",23.24,23.32,23.405,23.15,-0.21%
"Apr 05, 2022",23.29,23.26,23.5,23.22,0.30%
"Apr 04, 2022",23.22,23.2,23.335,23.1,0.09%
"Apr 01, 2022",23.2,23.095,23.24,23.045,0.52%
"Mar 31, 2022",23.08,23.265,23.285,23.025,-0.73%
"Mar 30, 2022",23.25,23.24,23.36,23.155,0.09%
"Mar 29, 2022",23.23,23.29,23.35,23.095,-0.21%
"Mar 28, 2022",23.28,23.325,23.49,23.265,-0.47%
"Apr 26, 2022",22.71,22.55,22.77,22.525,0.64%
"Apr 26, 2022",22.69,22.55,22.705,22.525,0.55%
"Apr 25, 2022",22.565,22.495,22.61,22.39,0.31%
"Apr 24, 2022",22.495,22.59,22.59,22.485,-0.33%
"Apr 26, 2022",22.555,22.55,22.565,22.545,-0.04%
"Apr 25, 2022",22.555,22.495,22.61,22.39,0.27%
"Mar 25, 2022",23.39,23.35,23.44,23.29,0.21%
"Apr 25, 2022",22.56,22.495,22.61,22.39,0.29%
"Apr 25, 2022",22.555,22.495,22.575,22.39,0.27%
"Apr 25, 2022",22.465,22.495,22.555,22.39,-0.13%
"Apr 25, 2022",22.435,22.495,22.515,22.41,-0.27%
