Date,Price,Open,High,Low,Change(%)
"Apr 22, 2022",0.6489,0.6466,0.6493,0.6463,0.40%
"Apr 21, 2022",0.6463,0.6451,0.6474,0.6442,0.26%
"Apr 20, 2022",0.6446,0.6442,0.6461,0.6434,0.12%
"Apr 19, 2022",0.6439,0.644,0.6454,0.6419,-0.01%
"Apr 18, 2022",0.6439,0.6444,0.6462,0.6434,0.01%
"Apr 15, 2022",0.6439,0.6455,0.6461,0.644,-0.21%
"Apr 14, 2022",0.6452,0.6434,0.6463,0.6425,0.32%
"Apr 13, 2022",0.6431,0.6452,0.6456,0.641,-0.33%
"Apr 12, 2022",0.6453,0.645,0.647,0.6429,0.09%
"Apr 11, 2022",0.6447,0.6517,0.6519,0.644,-0.95%
"Apr 08, 2022",0.6508,0.6516,0.6531,0.65,-0.06%
"Apr 07, 2022",0.6512,0.6552,0.6555,0.6498,-0.53%
"Apr 06, 2022",0.6547,0.654,0.6558,0.6524,0.17%
"Apr 05, 2022",0.6536,0.6518,0.6546,0.6507,0.39%
"Apr 04, 2022",0.6511,0.6493,0.6534,0.6475,0.20%
"Apr 01, 2022",0.6498,0.6437,0.6508,0.643,1.00%
"Mar 31, 2022",0.6433,0.6416,0.6449,0.6386,0.35%
"Mar 30, 2022",0.6411,0.6447,0.6467,0.6396,-0.51%
"Mar 29, 2022",0.6443,0.6487,0.649,0.6435,-0.61%
"Mar 28, 2022",0.6483,0.6442,0.6496,0.6437,0.62%
"Mar 25, 2022",0.6443,0.6414,0.645,0.6395,0.50%
"Mar 24, 2022",0.6411,0.6419,0.6436,0.6406,-0.11%
"Mar 23, 2022",0.6418,0.6397,0.6435,0.6386,0.36%
"Mar 22, 2022",0.6395,0.6398,0.6435,0.6383,-0.03%
"Mar 21, 2022",0.6397,0.6363,0.641,0.6354,0.52%
"Mar 18, 2022",0.6364,0.6368,0.6381,0.6347,-0.02%
"Mar 17, 2022",0.6365,0.6398,0.6405,0.6354,-0.40%
"Mar 16, 2022",0.6391,0.641,0.6419,0.6366,-0.20%
"Mar 15, 2022",0.6404,0.6384,0.642,0.6375,0.33%
"Mar 14, 2022",0.6382,0.6371,0.6393,0.636,0.30%
"Mar 11, 2022",0.6363,0.6345,0.6376,0.6335,0.37%
"Mar 10, 2022",0.634,0.6353,0.6361,0.6326,-0.16%
"Mar 09, 2022",0.635,0.6351,0.6368,0.6333,0.13%
"Mar 08, 2022",0.6342,0.6311,0.6366,0.6309,0.51%
"Mar 07, 2022",0.631,0.6293,0.6336,0.6281,0.29%
"Mar 04, 2022",0.6291,0.6312,0.6346,0.6269,-0.28%
"Mar 03, 2022",0.6309,0.6325,0.6338,0.6292,-0.17%
"Mar 02, 2022",0.632,0.6368,0.6383,0.6291,-0.74%
"Mar 01, 2022",0.6367,0.6382,0.639,0.6342,-0.24%
"Feb 28, 2022",0.6382,0.6326,0.6393,0.6326,0.95%
"Feb 25, 2022",0.6322,0.636,0.6367,0.6319,-0.59%
"Feb 24, 2022",0.6359,0.6311,0.6391,0.63,0.83%
"Feb 23, 2022",0.6307,0.6316,0.6335,0.6296,-0.13%
"Feb 22, 2022",0.6315,0.6277,0.6328,0.6273,0.59%
"Feb 21, 2022",0.6278,0.6251,0.6282,0.6243,0.43%
"Feb 18, 2022",0.6251,0.625,0.6275,0.6236,0.07%
"Feb 17, 2022",0.6246,0.6281,0.6302,0.6243,-0.46%
"Feb 16, 2022",0.6276,0.6308,0.6326,0.6275,-0.46%
"Feb 15, 2022",0.6305,0.6318,0.6326,0.6287,-0.14%
"Feb 14, 2022",0.6313,0.6389,0.6389,0.631,-1.07%
"Feb 11, 2022",0.6382,0.6376,0.639,0.6359,0.10%
"Feb 10, 2022",0.6376,0.6382,0.6398,0.6351,-0.05%
"Feb 09, 2022",0.6379,0.6396,0.6413,0.6373,-0.20%
"Feb 08, 2022",0.6392,0.6418,0.6422,0.6383,-0.32%
"Feb 07, 2022",0.6413,0.6451,0.6457,0.6394,-0.41%
