Date,Price,Open,High,Low,Change(%)
"Apr 27, 2022",0.4709,0.4663,0.471,0.4661,3.71%
"Apr 26, 2022",0.4541,0.4555,0.4768,0.4457,-2.60%
"Apr 25, 2022",0.4662,0.4502,0.4677,0.4502,6.02%
"Apr 22, 2022",0.4397,0.4197,0.4539,0.4157,4.77%
"Apr 21, 2022",0.4197,0.4085,0.4513,0.4014,2.13%
"Apr 20, 2022",0.411,0.419,0.4329,0.3936,-1.92%
"Apr 19, 2022",0.419,0.4157,0.4332,0.4088,0.77%
"Apr 18, 2022",0.4158,0.4042,0.4277,0.3983,-0.23%
"Apr 15, 2022",0.4168,0.4081,0.4221,0.4031,2.11%
"Apr 14, 2022",0.4081,0.4067,0.4194,0.3972,0.39%
"Apr 13, 2022",0.4065,0.3936,0.4213,0.3891,3.25%
"Apr 12, 2022",0.3938,0.4029,0.4238,0.3862,-2.27%
"Apr 11, 2022",0.4029,0.4257,0.4301,0.3882,-3.87%
"Apr 08, 2022",0.4191,0.4298,0.4475,0.4108,-0.92%
"Apr 07, 2022",0.423,0.4076,0.4361,0.3978,3.79%
"Apr 06, 2022",0.4076,0.3984,0.4162,0.3916,2.27%
"Apr 05, 2022",0.3985,0.4011,0.4085,0.3871,-0.04%
"Apr 04, 2022",0.3986,0.4193,0.4216,0.3747,1.90%
"Apr 01, 2022",0.3912,0.4076,0.4125,0.373,-4.02%
"Mar 31, 2022",0.4076,0.4026,0.4254,0.3819,1.25%
"Mar 30, 2022",0.4026,0.3855,0.4223,0.3618,4.34%
"Mar 29, 2022",0.3858,0.3578,0.4103,0.3388,7.80%
"Mar 28, 2022",0.3579,0.3193,0.3702,0.3178,10.21%
"Apr 27, 2022",0.4666,0.4663,0.4667,0.4661,0.07%
"Apr 26, 2022",0.4663,0.4662,0.474,0.4653,0.02%
"Apr 26, 2022",0.4667,0.4662,0.474,0.4653,0.11%
"Apr 26, 2022",0.4712,0.4662,0.474,0.4653,1.07%
"Apr 26, 2022",0.4713,0.4662,0.474,0.4653,1.10%
"Apr 26, 2022",0.4711,0.4662,0.474,0.4653,1.06%
"Apr 26, 2022",0.4708,0.4662,0.474,0.4653,1.00%
"Apr 26, 2022",0.4671,0.4662,0.4671,0.4653,0.21%
"Apr 25, 2022",0.4662,0.4502,0.4677,0.4502,3.54%
"Apr 24, 2022",0.4502,0.4504,0.4505,0.4498,2.40%
"Apr 26, 2022",0.4661,0.4662,0.4662,0.4661,-0.03%
"Mar 25, 2022",0.3248,0.3295,0.3552,0.3147,-1.47%
"Apr 25, 2022",0.4661,0.4502,0.4677,0.4502,3.53%
"Apr 25, 2022",0.4667,0.4502,0.4677,0.4502,3.65%
"Apr 25, 2022",0.4649,0.4502,0.4667,0.4502,3.25%
"Apr 25, 2022",0.4506,0.4502,0.4509,0.4502,0.09%
"Mar 24, 2022",0.3296,0.3495,0.3643,0.3178,-5.72%
"Mar 23, 2022",0.3496,0.3174,0.3649,0.3074,10.13%
"Mar 22, 2022",0.3174,0.316,0.3336,0.2996,0.41%
"Mar 21, 2022",0.3162,0.314,0.3401,0.2903,0.56%
"Mar 18, 2022",0.3144,0.321,0.3411,0.2957,-3.25%
"Mar 17, 2022",0.325,0.3479,0.3543,0.3042,-5.12%
"Mar 16, 2022",0.3425,0.3165,0.3503,0.287,8.23%
"Mar 15, 2022",0.3164,0.2752,0.3331,0.2727,14.95%
"Mar 14, 2022",0.2753,0.2522,0.3036,0.2492,10.36%
"Mar 11, 2022",0.2494,0.2491,0.295,0.2428,0.20%
"Mar 10, 2022",0.249,0.2445,0.2867,0.2363,3.32%
"Mar 09, 2022",0.241,0.2614,0.286,0.2379,-7.79%
"Mar 08, 2022",0.2613,0.2314,0.2752,0.2313,12.87%
"Mar 07, 2022",0.2315,0.2668,0.2781,0.2087,-13.25%
"Mar 04, 2022",0.2668,0.297,0.3266,0.256,-10.05%
"Mar 03, 2022",0.2966,0.3171,0.3374,0.2747,-6.42%
"Mar 02, 2022",0.317,0.3016,0.3414,0.2824,5.09%
"Mar 01, 2022",0.3016,0.3197,0.3641,0.2761,-2.33%
"Feb 28, 2022",0.3088,0.3898,0.3907,0.2833,-20.13%
"Feb 25, 2022",0.3867,0.3866,0.4002,0.3752,0.26%
"Feb 24, 2022",0.3857,0.3976,0.402,0.3603,-2.97%
"Feb 23, 2022",0.3975,0.4113,0.4132,0.3943,-3.07%
"Feb 22, 2022",0.4101,0.4021,0.4135,0.4001,2.24%
"Feb 21, 2022",0.4011,0.4155,0.4218,0.4016,-3.30%
"Feb 18, 2022",0.4148,0.4211,0.425,0.4148,-1.19%
"Feb 17, 2022",0.4198,0.4297,0.4308,0.419,-1.98%
"Feb 16, 2022",0.4283,0.4286,0.4322,0.4274,0.30%
"Feb 15, 2022",0.427,0.4241,0.4312,0.4214,1.14%
"Feb 14, 2022",0.4222,0.423,0.4277,0.4176,0.00%
"Feb 11, 2022",0.4222,0.436,0.4374,0.4209,-3.05%
"Feb 10, 2022",0.4355,0.4372,0.4402,0.4348,-0.11%
"Feb 09, 2022",0.436,0.4385,0.4403,0.4363,-0.46%
"Feb 08, 2022",0.438,0.4383,0.4394,0.4347,0.25%
