Date,Price,Open,High,Low,Change(%)
"Apr 27, 2022",9.1665,9.141,9.1693,9.137,0.28%
"Apr 26, 2022",9.141,9.0912,9.1504,9.0552,0.46%
"Apr 25, 2022",9.0989,9.0619,9.1045,9.0446,0.46%
"Apr 22, 2022",9.0575,9.0417,9.0632,9.019,0.21%
"Apr 21, 2022",9.0388,9.0046,9.0417,9.0017,0.41%
"Apr 20, 2022",9.0017,9.0128,9.04,8.9934,-0.10%
"Apr 19, 2022",9.0104,8.9867,9.016,8.9733,0.30%
"Apr 18, 2022",8.9838,8.9651,8.992,8.9544,0.24%
"Apr 15, 2022",8.9622,8.9838,8.9918,8.9598,-0.21%
"Apr 14, 2022",8.9809,8.9358,8.9918,8.9224,0.54%
"Apr 13, 2022",8.9329,8.9573,8.9576,8.9185,-0.24%
"Apr 12, 2022",8.9542,8.9624,8.9895,8.9225,-0.06%
"Apr 11, 2022",8.9595,8.9593,8.9809,8.9446,0.03%
"Apr 08, 2022",8.9564,8.929,8.9731,8.9214,0.34%
"Apr 07, 2022",8.9261,8.9557,8.9603,8.9003,-0.29%
"Apr 06, 2022",8.952,8.9423,8.9676,8.9396,0.16%
"Apr 05, 2022",8.938,8.9178,8.9439,8.8953,0.27%
"Apr 04, 2022",8.9138,8.9342,8.9434,8.9116,-0.15%
"Apr 01, 2022",8.9273,8.8738,8.9384,8.8672,0.64%
"Mar 31, 2022",8.8709,8.8893,8.9039,8.844,-0.14%
"Mar 30, 2022",8.8837,8.9298,8.9524,8.8685,-0.48%
"Mar 29, 2022",8.9269,9.0059,9.0097,8.9192,-0.83%
"Mar 28, 2022",9.0015,8.9558,9.0131,8.9484,0.56%
"Apr 27, 2022",9.1436,9.141,9.1487,9.137,0.03%
"Apr 26, 2022",9.1486,9.0912,9.1502,9.0552,0.55%
"Apr 26, 2022",9.145,9.0912,9.1461,9.0552,0.51%
"Apr 26, 2022",9.1138,9.0912,9.1168,9.0552,0.16%
"Apr 24, 2022",9.0572,9.0612,9.0625,9.0492,-0.00%
"Apr 26, 2022",9.0887,9.0912,9.0912,9.086,-0.03%
"Apr 25, 2022",9.0912,9.0572,9.1049,9.0555,0.38%
"Apr 25, 2022",9.0959,9.0572,9.1035,9.0555,0.43%
"Mar 25, 2022",8.9516,8.936,8.96,8.9094,0.21%
"Apr 25, 2022",9.0672,9.0572,9.0875,9.0555,0.11%
"Apr 25, 2022",9.0635,9.0572,9.0702,9.0555,0.07%
"Mar 24, 2022",8.9331,8.9627,8.9894,8.932,-0.30%
"Mar 23, 2022",8.9598,8.9276,8.984,8.9156,0.36%
"Mar 22, 2022",8.9273,8.9438,8.9857,8.9164,-0.14%
