Date,Price,Open,High,Low,Change(%)
"Apr 29, 2022",3.4991,3.4839,3.5123,3.482,0.44%
"Apr 28, 2022",3.4836,3.491,3.5492,3.4815,-0.13%
"Apr 27, 2022",3.4881,3.4845,3.5107,3.475,0.15%
"Apr 26, 2022",3.483,3.5163,3.5277,3.4806,-0.85%
"Apr 25, 2022",3.513,3.5719,3.5747,3.5005,-1.20%
"Apr 22, 2022",3.5558,3.5608,3.59,3.5493,-0.18%
"Apr 21, 2022",3.5623,3.5788,3.6091,3.5545,-0.37%
"Apr 20, 2022",3.5756,3.5444,3.5831,3.5396,0.93%
"Apr 19, 2022",3.5426,3.511,3.5468,3.5008,0.94%
"Apr 18, 2022",3.5095,3.5178,3.5234,3.5025,0.23%
"Apr 15, 2022",3.5016,3.5382,3.5435,3.5052,-1.01%
"Apr 14, 2022",3.5374,3.537,3.5731,3.5194,0.23%
"Apr 13, 2022",3.5292,3.5303,3.5405,3.5032,0.03%
"Apr 12, 2022",3.5282,3.5368,3.5477,3.5189,-0.18%
"Apr 11, 2022",3.5345,3.573,3.5801,3.5343,-0.42%
"Apr 08, 2022",3.5494,3.5391,3.5614,3.5307,0.33%
"Apr 07, 2022",3.5379,3.5413,3.5547,3.5238,-0.07%
"Apr 06, 2022",3.5403,3.555,3.5734,3.5302,-0.38%
"Apr 05, 2022",3.5537,3.551,3.5779,3.5412,0.16%
"Apr 04, 2022",3.548,3.576,3.5837,3.545,-0.72%
"Apr 01, 2022",3.5737,3.5426,3.5833,3.5405,0.97%
"Mar 31, 2022",3.5393,3.603,3.61,3.5363,-1.72%
"Mar 30, 2022",3.6014,3.5935,3.6073,3.5768,0.22%
"Mar 29, 2022",3.5935,3.5584,3.623,3.5483,1.04%
"Apr 29, 2022",3.5005,3.4839,3.5123,3.482,0.48%
"Apr 28, 2022",3.4914,3.491,3.5492,3.4815,0.10%
"Mar 28, 2022",3.5566,3.5659,3.5763,3.5354,-0.22%
"Apr 28, 2022",3.5178,3.491,3.5492,3.4815,0.85%
"Apr 28, 2022",3.5447,3.491,3.5447,3.4815,1.62%
"Apr 28, 2022",3.5387,3.491,3.5404,3.4815,1.45%
"Apr 28, 2022",3.4868,3.491,3.492,3.4851,-0.13%
"Apr 27, 2022",3.4914,3.4845,3.5089,3.4751,0.19%
"Apr 26, 2022",3.4848,3.5102,3.5271,3.4807,-0.80%
"Apr 27, 2022",3.4899,3.4845,3.5089,3.4751,0.15%
"Apr 27, 2022",3.4857,3.4845,3.5089,3.4751,0.03%
"Apr 27, 2022",3.4819,3.4845,3.5089,3.4751,-0.08%
"Apr 27, 2022",3.4977,3.4845,3.5089,3.4833,0.37%
"Apr 27, 2022",3.4862,3.4845,3.487,3.4833,0.04%
"Apr 26, 2022",3.4848,3.5102,3.5271,3.4807,-0.71%
"Apr 25, 2022",3.5097,3.5666,3.5701,3.5012,-1.30%
