Date,Price,Open,High,Low,Change(%)
"Apr 26, 2022",1.1685,1.1659,1.1721,1.1594,0.54%
"Apr 25, 2022",1.1622,1.158,1.168,1.1551,0.61%
"Apr 22, 2022",1.1551,1.1578,1.1612,1.1548,-0.15%
"Apr 21, 2022",1.1568,1.1543,1.1615,1.1534,0.23%
"Apr 20, 2022",1.1542,1.1526,1.158,1.1515,0.18%
"Apr 19, 2022",1.1521,1.1516,1.1563,1.1496,0.20%
"Apr 18, 2022",1.1498,1.1546,1.1566,1.1484,-0.31%
"Apr 15, 2022",1.1534,1.1595,1.1624,1.1528,-0.44%
"Apr 14, 2022",1.1585,1.1552,1.1635,1.1535,0.38%
"Apr 13, 2022",1.1541,1.1539,1.1578,1.148,0.12%
"Apr 12, 2022",1.1527,1.1566,1.1593,1.1486,-0.21%
"Apr 11, 2022",1.1551,1.1621,1.1626,1.1534,-0.54%
"Apr 08, 2022",1.1614,1.1609,1.1657,1.1584,0.12%
"Apr 07, 2022",1.16,1.1681,1.1707,1.1573,-0.54%
"Apr 06, 2022",1.1663,1.169,1.1715,1.1652,-0.13%
"Apr 05, 2022",1.1678,1.1678,1.1708,1.1648,0.06%
"Apr 04, 2022",1.1671,1.1666,1.1717,1.165,0.01%
"Apr 01, 2022",1.167,1.1622,1.1698,1.158,0.50%
"Mar 31, 2022",1.1612,1.1668,1.1696,1.1578,-0.37%
"Mar 30, 2022",1.1655,1.1672,1.1736,1.1628,-0.11%
"Mar 29, 2022",1.1668,1.1736,1.1749,1.1648,-0.40%
"Mar 28, 2022",1.1715,1.1712,1.1762,1.1688,0.12%
"Apr 26, 2022",1.1704,1.1659,1.1721,1.1594,0.71%
"Apr 26, 2022",1.1702,1.1659,1.1721,1.1594,0.69%
"Apr 26, 2022",1.1681,1.1659,1.1681,1.1594,0.50%
"Apr 25, 2022",1.1622,1.158,1.168,1.1551,0.28%
"Apr 24, 2022",1.159,1.1589,1.159,1.1573,0.34%
"Apr 26, 2022",1.1669,1.1659,1.1671,1.1649,-0.05%
"Apr 25, 2022",1.1674,1.1587,1.1684,1.1557,0.73%
"Apr 25, 2022",1.1671,1.1587,1.1684,1.1557,0.70%
"Mar 25, 2022",1.1701,1.1688,1.1731,1.1659,0.19%
"Apr 25, 2022",1.1669,1.1587,1.1684,1.1557,0.68%
"Apr 25, 2022",1.1653,1.1587,1.1659,1.1557,0.55%
"Apr 25, 2022",1.1651,1.1587,1.1659,1.1557,0.53%
"Apr 25, 2022",1.1605,1.1587,1.1613,1.1557,0.13%
"Apr 25, 2022",1.1572,1.1587,1.1601,1.1557,-0.16%
