Date,Price,Open,High,Low,Change(%)
"Apr 27, 2022",34.385,34.29,34.395,34.265,0.28%
"Apr 26, 2022",34.29,34.14,34.32,34.02,0.47%
"Apr 25, 2022",34.13,33.96,34.15,33.92,0.47%
"Apr 22, 2022",33.97,33.91,33.99,33.825,0.21%
"Apr 21, 2022",33.9,33.78,33.91,33.765,0.41%
"Apr 20, 2022",33.76,33.8,33.9,33.73,-0.09%
"Apr 19, 2022",33.79,33.69,33.81,33.65,0.30%
"Apr 18, 2022",33.69,33.63,33.72,33.58,0.24%
"Apr 15, 2022",33.61,33.69,33.72,33.6,-0.21%
"Apr 14, 2022",33.68,33.52,33.72,33.46,0.54%
"Apr 13, 2022",33.5,33.57,33.58,33.445,-0.24%
"Apr 12, 2022",33.58,33.61,33.71,33.46,-0.06%
"Apr 11, 2022",33.6,33.59,33.68,33.545,0.03%
"Apr 08, 2022",33.59,33.49,33.65,33.465,0.33%
"Apr 07, 2022",33.48,33.6,33.61,33.385,-0.30%
"Apr 06, 2022",33.58,33.54,33.64,33.535,0.15%
"Apr 05, 2022",33.53,33.47,33.55,33.37,0.27%
"Apr 04, 2022",33.44,33.46,33.55,33.43,-0.15%
"Apr 01, 2022",33.49,33.29,33.53,33.265,0.63%
"Mar 31, 2022",33.28,33.35,33.4,33.18,-0.15%
"Mar 30, 2022",33.33,33.48,33.595,33.28,-0.51%
"Mar 29, 2022",33.5,33.78,33.8,33.47,-0.80%
"Mar 28, 2022",33.77,33.57,33.81,33.57,0.57%
"Apr 27, 2022",34.305,34.29,34.32,34.265,0.06%
"Apr 26, 2022",34.285,34.09,34.32,34.02,0.57%
"Apr 25, 2022",34.09,33.96,34.15,33.92,0.35%
"Apr 26, 2022",34.315,34.09,34.32,34.02,0.66%
"Apr 26, 2022",34.3,34.09,34.305,34.02,0.62%
"Apr 26, 2022",34.29,34.09,34.295,34.02,0.59%
"Apr 26, 2022",34.285,34.09,34.295,34.02,0.57%
"Apr 26, 2022",34.165,34.09,34.17,34.02,0.22%
"Apr 24, 2022",33.97,33.96,33.99,33.94,0.00%
"Apr 26, 2022",34.08,34.09,34.09,34.08,-0.03%
"Mar 25, 2022",33.58,33.51,33.61,33.42,0.21%
"Apr 25, 2022",34.085,33.96,34.15,33.92,0.34%
"Apr 25, 2022",34.125,33.96,34.145,33.92,0.46%
"Apr 25, 2022",34.025,33.96,34.09,33.92,0.16%
"Apr 25, 2022",33.995,33.96,34.02,33.92,0.07%
"Mar 24, 2022",33.51,33.61,33.72,33.505,-0.30%
"Mar 23, 2022",33.61,33.51,33.7,33.445,0.39%
"Mar 22, 2022",33.48,33.54,33.71,33.45,-0.18%
"Mar 21, 2022",33.54,33.28,33.57,33.27,0.75%
"Mar 18, 2022",33.29,33.21,33.4,33.195,0.27%
"Mar 17, 2022",33.2,33.4,33.4,33.18,-0.42%
"Mar 16, 2022",33.34,33.54,33.56,33.25,-0.51%
"Mar 15, 2022",33.51,33.45,33.57,33.42,0.18%
"Mar 14, 2022",33.45,33.3,33.47,33.27,0.45%
"Mar 11, 2022",33.3,33.14,33.36,33.115,0.54%
"Mar 10, 2022",33.12,33.04,33.17,32.97,0.30%
"Mar 09, 2022",33.02,33.22,33.235,32.975,-0.48%
"Mar 08, 2022",33.18,33.0,33.23,32.99,0.55%
"Mar 07, 2022",33.0,32.69,33.08,32.66,0.95%
"Mar 04, 2022",32.69,32.59,32.75,32.55,0.34%
"Mar 03, 2022",32.58,32.53,32.65,32.4,0.22%
"Mar 02, 2022",32.51,32.71,32.765,32.42,-0.55%
"Mar 01, 2022",32.69,32.665,32.76,32.51,0.06%
"Feb 28, 2022",32.67,32.71,32.78,32.59,0.68%
"Feb 25, 2022",32.45,32.625,32.66,32.415,-0.55%
"Feb 24, 2022",32.63,32.27,32.89,32.24,1.15%
"Feb 23, 2022",32.26,32.42,32.48,32.185,-0.49%
"Feb 22, 2022",32.42,32.27,32.48,32.25,0.43%
"Feb 21, 2022",32.28,32.14,32.29,32.09,0.37%
"Feb 18, 2022",32.16,32.11,32.19,32.08,0.19%
"Feb 17, 2022",32.1,32.28,32.33,32.08,-0.47%
"Feb 16, 2022",32.25,32.345,32.44,32.235,-0.31%
"Feb 15, 2022",32.35,32.44,32.485,32.28,-0.22%
"Feb 14, 2022",32.42,32.69,32.72,32.405,-0.92%
