Date,Price,Open,High,Low,Change(%)
"Apr 27, 2022",2.1758,2.1619,2.1802,2.1602,0.56%
"Apr 26, 2022",2.1636,2.1773,2.193,2.161,-0.38%
"Apr 25, 2022",2.1718,2.1769,2.1798,2.1579,0.05%
"Apr 22, 2022",2.1707,2.1977,2.2058,2.1621,-1.35%
"Apr 21, 2022",2.2004,2.2472,2.251,2.1963,-1.89%
"Apr 20, 2022",2.2429,2.2585,2.2666,2.2366,-0.68%
"Apr 19, 2022",2.2582,2.2998,2.3012,2.2524,-1.76%
"Apr 18, 2022",2.2986,2.3003,2.3063,2.2872,0.00%
"Apr 15, 2022",2.2985,2.2975,2.3046,2.2899,0.09%
"Apr 14, 2022",2.2965,2.3021,2.3128,2.2846,-0.10%
"Apr 13, 2022",2.2988,2.3147,2.3216,2.2955,-0.61%
"Apr 12, 2022",2.3128,2.3056,2.3184,2.3008,0.40%
"Apr 11, 2022",2.3037,2.2975,2.3116,2.2889,0.71%
"Apr 08, 2022",2.2875,2.2692,2.2957,2.2678,0.82%
"Apr 07, 2022",2.2688,2.2896,2.2933,2.2601,-0.91%
"Apr 06, 2022",2.2896,2.2875,2.2994,2.2724,0.24%
"Apr 05, 2022",2.2842,2.2926,2.3038,2.2817,-0.31%
"Apr 04, 2022",2.2913,2.2874,2.3006,2.2809,0.39%
"Apr 01, 2022",2.2825,2.2787,2.2994,2.2749,0.30%
"Mar 31, 2022",2.2757,2.3033,2.3129,2.2705,-1.18%
"Mar 30, 2022",2.3029,2.3044,2.3122,2.294,0.03%
"Mar 29, 2022",2.3022,2.2925,2.3123,2.2903,0.52%
"Mar 28, 2022",2.2903,2.308,2.3301,2.2919,-0.69%
"Apr 27, 2022",2.1616,2.1619,2.1631,2.1602,-0.01%
"Apr 26, 2022",2.1618,2.1702,2.1926,2.1611,-0.46%
"Apr 26, 2022",2.17,2.1702,2.1926,2.1632,-0.08%
"Apr 26, 2022",2.1806,2.1702,2.1926,2.1641,0.41%
"Apr 26, 2022",2.1818,2.1702,2.1926,2.1641,0.46%
"Apr 26, 2022",2.1804,2.1702,2.1926,2.1641,0.40%
"Apr 26, 2022",2.1762,2.1702,2.1809,2.1641,0.20%
"Apr 25, 2022",2.1718,2.1769,2.1798,2.1579,-0.24%
"Apr 24, 2022",2.1769,2.1727,2.1808,2.1727,0.29%
"Apr 26, 2022",2.1704,2.1702,2.1705,2.1697,-0.06%
"Apr 25, 2022",2.1707,2.1769,2.1798,2.1579,-0.28%
"Mar 25, 2022",2.3063,2.3087,2.3157,2.2973,0.03%
"Apr 25, 2022",2.1707,2.1769,2.1798,2.1579,-0.29%
"Apr 25, 2022",2.1732,2.1769,2.1789,2.1579,-0.17%
"Apr 25, 2022",2.1672,2.1769,2.1787,2.1618,-0.45%
"Apr 25, 2022",2.1702,2.1769,2.178,2.166,-0.31%
"Mar 24, 2022",2.3055,2.2778,2.3107,2.272,1.31%
"Mar 23, 2022",2.2758,2.2596,2.2819,2.2545,0.77%
"Mar 22, 2022",2.2584,2.2469,2.2645,2.2374,0.45%
"Mar 21, 2022",2.2483,2.2225,2.255,2.2225,1.16%
"Mar 18, 2022",2.2225,2.2253,2.2336,2.2181,-0.18%
"Mar 17, 2022",2.2266,2.2366,2.2387,2.2162,-0.31%
"Mar 16, 2022",2.2335,2.2194,2.2383,2.2062,0.77%
"Mar 15, 2022",2.2164,2.2102,2.2272,2.2065,0.35%
"Mar 14, 2022",2.2087,2.2113,2.226,2.2064,0.01%
"Mar 11, 2022",2.2085,2.2004,2.2219,2.1972,0.35%
"Mar 10, 2022",2.2009,2.2009,2.2082,2.1825,0.04%
"Mar 09, 2022",2.2,2.1728,2.2054,2.1662,1.51%
"Mar 08, 2022",2.1672,2.1515,2.1832,2.147,0.86%
"Mar 07, 2022",2.1487,2.1239,2.1584,2.122,1.25%
"Mar 04, 2022",2.1222,2.1429,2.1477,2.1098,-0.91%
"Mar 03, 2022",2.1417,2.1226,2.1486,2.1075,0.94%
"Mar 02, 2022",2.1218,2.1207,2.1314,2.0938,0.15%
"Mar 01, 2022",2.1186,2.1235,2.1358,2.1109,-0.29%
"Feb 28, 2022",2.1247,2.1432,2.1432,2.0938,-0.78%
"Feb 25, 2022",2.1415,2.1246,2.1493,2.1111,0.88%
"Feb 24, 2022",2.1229,2.1321,2.1448,2.1112,-0.49%
"Feb 23, 2022",2.1333,2.1556,2.1605,2.1312,-0.83%
"Feb 22, 2022",2.1512,2.1325,2.159,2.1258,0.88%
"Feb 21, 2022",2.1324,2.1291,2.1387,2.1171,0.08%
"Feb 18, 2022",2.1307,2.1442,2.1534,2.1189,-0.41%
"Feb 17, 2022",2.1395,2.1518,2.1562,2.1333,-0.47%
"Feb 16, 2022",2.1496,2.1426,2.1544,2.1323,0.46%
"Feb 15, 2022",2.1397,2.1434,2.1576,2.1242,-0.12%
"Feb 14, 2022",2.1423,2.1485,2.1544,2.127,-0.28%
"Feb 11, 2022",2.1484,2.1579,2.1711,2.1399,-0.38%
"Feb 10, 2022",2.1565,2.1512,2.1758,2.1437,0.36%
"Feb 09, 2022",2.1487,2.1429,2.1572,2.1266,0.35%
"Feb 08, 2022",2.1412,2.1292,2.1453,2.1172,0.73%
"Feb 07, 2022",2.1256,2.1324,2.1438,2.1188,-0.11%
"Feb 04, 2022",2.1279,2.1708,2.1721,2.1266,-1.84%
"Feb 03, 2022",2.1678,2.1607,2.1739,2.1521,0.47%
"Feb 02, 2022",2.1577,2.1739,2.1841,2.1528,-0.69%
"Feb 01, 2022",2.1728,2.16,2.1844,2.1551,0.76%
"Jan 31, 2022",2.1564,2.1422,2.1679,2.1353,0.70%
"Jan 28, 2022",2.1415,2.1548,2.1586,2.1254,-0.48%
"Jan 27, 2022",2.1519,2.159,2.1848,2.1435,-0.32%
"Jan 26, 2022",2.1589,2.1652,2.185,2.1544,-0.28%
"Jan 25, 2022",2.165,2.1596,2.1686,2.1502,0.24%
"Jan 24, 2022",2.1598,2.1813,2.1904,2.1472,-0.78%
"Jan 21, 2022",2.1768,2.1636,2.1905,2.1569,0.65%
"Jan 20, 2022",2.1628,2.1474,2.1755,2.14,0.86%
"Jan 19, 2022",2.1444,2.1323,2.1591,2.1297,0.66%
"Jan 18, 2022",2.1304,2.147,2.1523,2.1272,-0.95%
"Jan 17, 2022",2.1509,2.1579,2.1667,2.1407,-0.26%
"Jan 14, 2022",2.1566,2.1562,2.173,2.1451,0.10%
"Jan 13, 2022",2.1544,2.1755,2.1781,2.1504,-0.96%
"Jan 12, 2022",2.1752,2.1446,2.1772,2.1386,1.46%
"Jan 11, 2022",2.1439,2.1514,2.1523,2.1311,-0.08%
"Jan 10, 2022",2.1457,2.1518,2.1653,2.1366,-0.45%
"Jan 07, 2022",2.1555,2.133,2.1639,2.1285,1.14%
"Jan 06, 2022",2.1312,2.0875,2.1435,2.087,2.22%
"Jan 05, 2022",2.0849,2.0772,2.1106,2.0649,0.39%
"Jan 04, 2022",2.0769,2.094,2.1075,2.0705,-0.55%
"Jan 03, 2022",2.0884,2.0776,2.1072,2.0744,0.60%
"Dec 31, 2021",2.076,2.0964,2.0982,2.0738,-0.94%
"Dec 30, 2021",2.0956,2.1026,2.1045,2.0796,-0.26%
"Dec 29, 2021",2.101,2.1312,2.1319,2.0965,-1.18%
"Dec 28, 2021",2.1261,2.1575,2.1617,2.1151,-1.41%
"Dec 27, 2021",2.1564,2.149,2.1668,2.147,0.42%
"Dec 24, 2021",2.1473,2.1395,2.1553,2.1346,0.47%
"Dec 23, 2021",2.1373,2.1447,2.1492,2.1216,-0.17%
"Dec 22, 2021",2.141,2.1251,2.1475,2.1193,0.78%
"Dec 21, 2021",2.1245,2.1311,2.1405,2.1164,-0.28%
"Dec 20, 2021",2.1304,2.0988,2.1351,2.0917,1.58%
"Dec 17, 2021",2.0973,2.0958,2.1095,2.0878,0.15%
"Dec 16, 2021",2.0941,2.0894,2.105,2.0805,0.13%
"Dec 15, 2021",2.0913,2.0731,2.0968,2.0568,0.80%
"Dec 14, 2021",2.0746,2.0828,2.0921,2.0652,-0.36%
"Dec 13, 2021",2.0821,2.105,2.1076,2.0784,-1.05%
"Dec 10, 2021",2.1041,2.1095,2.1174,2.0928,-0.18%
"Dec 09, 2021",2.1079,2.1326,2.1345,2.0963,-1.10%
"Dec 08, 2021",2.1313,2.1258,2.1346,2.1089,0.35%
"Dec 07, 2021",2.1238,2.1276,2.1326,2.1031,-0.20%
"Dec 06, 2021",2.1281,2.1049,2.1372,2.1016,1.08%
"Dec 03, 2021",2.1053,2.1251,2.1437,2.0977,-0.96%
"Dec 02, 2021",2.1256,2.1049,2.1495,2.1002,1.19%
"Dec 01, 2021",2.1007,2.1247,2.1404,2.1,-0.95%
"Nov 30, 2021",2.1208,2.0882,2.1268,2.079,1.63%
"Nov 29, 2021",2.0867,2.0707,2.1007,2.0707,0.83%
"Nov 26, 2021",2.0695,2.0934,2.0941,2.0524,-0.88%
"Nov 25, 2021",2.0879,2.0987,2.1107,2.0902,-0.45%
"Nov 24, 2021",2.0974,2.094,2.1104,2.0857,0.42%
"Nov 23, 2021",2.0887,2.0841,2.1003,2.0779,0.34%
"Nov 22, 2021",2.0817,2.0855,2.0964,2.0784,-0.12%
"Nov 19, 2021",2.0842,2.0912,2.1005,2.0754,0.19%
"Nov 18, 2021",2.0803,2.1051,2.1117,2.07,-1.13%
"Nov 17, 2021",2.104,2.1123,2.1193,2.0991,-0.29%
"Nov 16, 2021",2.1102,2.1477,2.1555,2.1026,-1.66%
"Nov 15, 2021",2.1458,2.1386,2.1583,2.1292,0.65%
"Nov 12, 2021",2.132,2.1473,2.1547,2.1291,-0.57%
"Nov 11, 2021",2.1442,2.1288,2.1634,2.1216,0.87%
"Nov 10, 2021",2.1258,2.1829,2.1829,2.1216,-2.30%
"Nov 09, 2021",2.1758,2.2071,2.2102,2.1695,-1.38%
"Nov 08, 2021",2.2062,2.2055,2.2202,2.1895,0.11%
"Nov 05, 2021",2.2037,2.1925,2.21,2.1727,0.62%
"Nov 04, 2021",2.1902,2.1826,2.2013,2.1772,0.46%
"Nov 03, 2021",2.1802,2.155,2.1883,2.1529,1.25%
"Nov 02, 2021",2.1532,2.1612,2.1677,2.146,-0.19%
"Nov 01, 2021",2.1572,2.1895,2.1962,2.1546,-1.41%
"Oct 29, 2021",2.1881,2.1925,2.198,2.1637,-0.15%
"Oct 28, 2021",2.1913,2.2069,2.2132,2.1883,-0.66%
"Oct 27, 2021",2.2059,2.2429,2.2455,2.2041,-1.56%
"Oct 26, 2021",2.2408,2.2482,2.2613,2.2339,-0.20%
"Oct 25, 2021",2.2453,2.2428,2.2536,2.2248,0.19%
"Oct 22, 2021",2.241,2.2737,2.2875,2.2417,-1.33%
"Oct 21, 2021",2.2711,2.3177,2.321,2.272,-1.91%
"Oct 20, 2021",2.3153,2.2932,2.3254,2.2901,1.05%
"Oct 19, 2021",2.2913,2.2807,2.3019,2.2701,0.58%
"Oct 18, 2021",2.2781,2.2882,2.2889,2.261,-0.48%
"Oct 15, 2021",2.2891,2.2421,2.2931,2.2401,2.16%
"Oct 14, 2021",2.2406,2.2422,2.2569,2.236,0.04%
"Oct 13, 2021",2.2397,2.226,2.2461,2.2158,0.73%
"Oct 12, 2021",2.2234,2.2365,2.2379,2.2176,-0.49%
"Oct 11, 2021",2.2343,2.2639,2.2713,2.2323,-1.23%
"Oct 08, 2021",2.2621,2.2592,2.2852,2.2569,0.08%
"Oct 07, 2021",2.2603,2.2545,2.2777,2.2499,0.14%
"Oct 06, 2021",2.2572,2.2554,2.2606,2.2334,0.13%
"Oct 05, 2021",2.2542,2.2466,2.2606,2.2374,0.50%
"Oct 04, 2021",2.2429,2.2592,2.268,2.2387,-0.51%
"Oct 01, 2021",2.2544,2.232,2.266,2.227,1.13%
"Sep 30, 2021",2.2293,2.236,2.2508,2.2202,-0.25%
"Sep 29, 2021",2.2349,2.2413,2.2592,2.2308,-0.25%
"Sep 28, 2021",2.2406,2.2454,2.2568,2.2305,-0.12%
"Sep 27, 2021",2.2432,2.2369,2.2525,2.2229,0.47%
"Sep 24, 2021",2.2326,2.2636,2.2678,2.2243,-1.32%
"Sep 23, 2021",2.2625,2.2642,2.2853,2.2505,0.14%
"Sep 22, 2021",2.2593,2.2484,2.2792,2.2422,0.50%
"Sep 21, 2021",2.248,2.2564,2.2812,2.2398,-0.27%
"Sep 20, 2021",2.2541,2.2658,2.2658,2.2452,-0.63%
"Sep 17, 2021",2.2684,2.2701,2.284,2.2522,0.01%
"Sep 16, 2021",2.2682,2.2779,2.2887,2.2647,-0.48%
"Sep 15, 2021",2.2792,2.3008,2.3073,2.2727,-0.74%
"Sep 14, 2021",2.2963,2.3231,2.331,2.296,-1.02%
"Sep 13, 2021",2.3199,2.302,2.3263,2.2994,0.88%
"Sep 10, 2021",2.2996,2.3026,2.3223,2.2987,-0.03%
"Sep 09, 2021",2.3002,2.3097,2.3214,2.2966,-0.30%
"Sep 08, 2021",2.3071,2.2824,2.3131,2.2815,1.19%
"Sep 07, 2021",2.2799,2.2792,2.2915,2.2687,0.02%
"Sep 06, 2021",2.2794,2.2687,2.2841,2.2546,0.58%
"Sep 03, 2021",2.2662,2.2455,2.2807,2.2431,1.03%
"Sep 02, 2021",2.2431,2.2411,2.2688,2.2371,0.17%
"Sep 01, 2021",2.2394,2.2202,2.2499,2.2146,0.96%
